date,facebook app privacy policy,Facebook privacy policy 2016,privacy setting on facebook,Total
1/1/11,0,0,120,120
2/1/11,22,0,84,106
3/1/11,40,0,139,179
4/1/11,27,0,133,160
5/1/11,25,0,104,129
6/1/11,26,0,126,152
7/1/11,56,0,152,208
8/1/11,29,0,104,133
9/1/11,24,0,188,212
10/1/11,9,0,181,190
11/1/11,9,0,171,180
12/1/11,18,0,117,135
1/1/12,16,0,139,155
2/1/12,21,0,149,170
3/1/12,28,0,149,177
4/1/12,100,0,107,207
5/1/12,35,0,165,200
6/1/12,16,0,107,123
7/1/12,44,0,136,180
8/1/12,20,0,207,227
9/1/12,27,0,323,350
10/1/12,42,0,262,304
11/1/12,50,0,181,231
12/1/12,25,0,142,167
1/1/13,32,0,142,174
2/1/13,71,0,168,239
3/1/13,38,0,197,235
4/1/13,16,0,149,165
5/1/13,31,0,175,206
6/1/13,23,0,162,185
7/1/13,35,0,171,206
8/1/13,31,0,168,199
9/1/13,15,0,133,148
10/1/13,26,0,171,197
11/1/13,24,0,175,199
12/1/13,30,0,142,172
1/1/14,31,0,136,167
2/1/14,34,0,130,164
3/1/14,19,0,100,119
4/1/14,20,0,136,156
5/1/14,23,0,94,117
6/1/14,41,0,171,212
7/1/14,28,0,130,158
8/1/14,67,0,120,187
9/1/14,56,0,113,169
10/1/14,37,0,59,96
11/1/14,17,0,139,156
12/1/14,28,0,97,125
1/1/15,35,6,136,177
2/1/15,32,0,81,113
3/1/15,31,0,133,164
4/1/15,24,0,78,102
5/1/15,29,0,91,120
6/1/15,37,0,117,154
7/1/15,26,0,91,117
8/1/15,29,0,75,104
9/1/15,31,0,110,141
10/1/15,22,6,91,119
11/1/15,22,0,81,103
12/1/15,25,0,97,122
1/1/16,19,16,88,123
2/1/16,19,11,104,134
3/1/16,31,16,84,131
4/1/16,30,0,71,101
5/1/16,33,6,91,130
6/1/16,18,232,100,350
7/1/16,37,395,113,545
8/1/16,34,27,75,136
9/1/16,20,27,117,164
10/1/16,26,527,75,628
11/1/16,17,16,84,117
12/1/16,26,11,94,131
1/1/17,38,27,117,182
