date,Instagram info,instagram permissions,instagram privacy policy,instagram safety,instagram security,instagram tos,privacy instagram,Privacy Policy Instagram,Total
1/1/11,4,0,0,0,3,0,0,0,7
2/1/11,0,2,0,0,3,0,0,0,5
3/1/11,4,0,0,0,3,0,0,0,7
4/1/11,4,0,0,0,5,0,0,0,9
5/1/11,4,0,0,0,3,2,5,0,14
6/1/11,4,2,2,0,3,2,5,2,20
7/1/11,7,0,2,2,3,0,5,2,21
8/1/11,7,2,0,2,5,0,0,0,16
9/1/11,7,2,0,2,7,0,5,0,23
10/1/11,4,0,2,3,5,0,5,2,21
11/1/11,7,0,2,2,7,0,10,2,30
12/1/11,10,2,2,2,5,0,10,2,33
1/1/12,13,2,0,5,11,2,10,0,43
2/1/12,25,3,2,3,17,2,10,2,64
3/1/12,25,0,1,4,17,2,14,1,64
4/1/12,57,6,3,9,40,5,46,3,169
5/1/12,41,3,1,10,32,3,51,1,142
6/1/12,41,6,0,11,34,3,37,0,132
7/1/12,54,4,2,19,46,3,46,2,176
8/1/12,54,5,1,15,46,4,46,1,172
9/1/12,57,4,4,17,30,3,223,4,342
10/1/12,60,5,3,18,46,1,191,3,327
11/1/12,66,4,3,21,48,3,164,3,312
12/1/12,88,5,100,24,59,88,455,100,919
1/1/13,104,4,30,27,71,12,205,30,483
2/1/13,91,5,13,30,69,4,123,13,348
3/1/13,110,5,13,34,61,3,146,13,385
4/1/13,138,4,8,25,80,4,123,8,390
5/1/13,113,5,8,27,78,6,137,8,382
6/1/13,107,4,4,29,67,7,137,4,359
7/1/13,141,6,6,29,90,5,123,6,406
8/1/13,132,7,6,33,94,5,132,6,415
9/1/13,122,5,10,31,94,3,119,10,394
10/1/13,119,7,11,38,90,6,110,11,392
11/1/13,113,4,6,43,96,5,101,6,374
12/1/13,141,9,24,27,130,6,128,24,489
1/1/14,160,5,13,46,113,6,128,13,484
2/1/14,147,5,4,50,132,5,128,4,475
3/1/14,157,3,65,41,140,8,191,65,670
4/1/14,169,5,10,46,117,8,128,10,493
5/1/14,166,2,7,46,150,7,128,7,513
6/1/14,169,3,10,47,171,8,141,10,559
7/1/14,191,3,8,40,173,11,141,8,575
8/1/14,182,7,7,46,178,11,146,7,584
9/1/14,194,9,8,52,132,7,146,8,556
10/1/14,194,8,6,55,128,10,128,6,535
11/1/14,185,6,8,55,165,6,141,8,574
12/1/14,191,5,11,54,178,6,132,11,588
1/1/15,222,3,12,58,161,13,132,12,613
2/1/15,210,4,7,62,169,6,119,7,584
3/1/15,210,6,10,61,171,8,101,10,577
4/1/15,210,6,6,57,196,7,105,6,593
5/1/15,229,6,6,52,186,7,101,6,593
6/1/15,210,4,4,54,198,8,101,4,583
7/1/15,222,6,6,54,209,11,105,6,619
8/1/15,229,7,6,49,155,11,96,6,559
9/1/15,219,8,9,64,167,9,96,9,581
10/1/15,229,7,8,63,142,10,101,8,568
11/1/15,247,10,11,59,148,14,101,11,601
12/1/15,235,8,10,53,155,13,101,10,585
1/1/16,250,12,8,52,161,13,101,8,605
2/1/16,260,8,15,69,148,11,105,15,631
3/1/16,263,11,11,66,178,10,101,11,651
4/1/16,269,11,9,61,159,14,105,9,637
5/1/16,269,11,8,54,169,11,96,8,626
6/1/16,282,15,18,65,184,11,105,18,698
7/1/16,288,12,15,57,180,9,114,15,690
8/1/16,288,10,13,62,184,14,105,13,689
9/1/16,275,13,15,68,171,16,114,15,687
10/1/16,282,13,9,70,188,13,105,9,689
11/1/16,279,10,14,70,167,12,110,14,676
12/1/16,279,10,11,53,180,12,119,11,675
1/1/17,313,11,15,66,192,16,128,15,756
