date,Uber privacy,Total
1/1/11,0,0
2/1/11,0,0
3/1/11,0,0
4/1/11,0,0
5/1/11,5,5
6/1/11,5,5
7/1/11,5,5
8/1/11,0,0
9/1/11,0,0
10/1/11,0,0
11/1/11,4,4
12/1/11,0,0
1/1/12,0,0
2/1/12,4,4
3/1/12,4,4
4/1/12,0,0
5/1/12,4,4
6/1/12,4,4
7/1/12,0,0
8/1/12,4,4
9/1/12,4,4
10/1/12,0,0
11/1/12,5,5
12/1/12,0,0
1/1/13,0,0
2/1/13,3,3
3/1/13,0,0
4/1/13,3,3
5/1/13,3,3
6/1/13,3,3
7/1/13,3,3
8/1/13,4,4
9/1/13,9,9
10/1/13,3,3
11/1/13,3,3
12/1/13,4,4
1/1/14,6,6
2/1/14,8,8
3/1/14,3,3
4/1/14,5,5
5/1/14,11,11
6/1/14,6,6
7/1/14,3,3
8/1/14,5,5
9/1/14,11,11
10/1/14,13,13
11/1/14,100,100
12/1/14,34,34
1/1/15,16,16
2/1/15,30,30
3/1/15,19,19
4/1/15,28,28
5/1/15,32,32
6/1/15,51,51
7/1/15,46,46
8/1/15,21,21
9/1/15,34,34
10/1/15,24,24
11/1/15,20,20
12/1/15,22,22
1/1/16,31,31
2/1/16,26,26
3/1/16,18,18
4/1/16,29,29
5/1/16,27,27
6/1/16,28,28
7/1/16,27,27
8/1/16,26,26
9/1/16,27,27
10/1/16,24,24
11/1/16,42,42
12/1/16,57,57
1/1/17,45,45
