date,privacy policy uber,uber privacy,uber security,Total
1/1/11,0,0,34,34
2/1/11,0,0,84,84
3/1/11,0,0,34,34
4/1/11,0,0,67,67
5/1/11,0,27,50,77
6/1/11,0,27,50,77
7/1/11,0,27,50,77
8/1/11,0,0,34,34
9/1/11,0,0,50,50
10/1/11,0,0,50,50
11/1/11,0,22,67,89
12/1/11,0,0,34,34
1/1/12,0,0,17,17
2/1/12,21,22,50,93
3/1/12,0,22,34,56
4/1/12,0,0,34,34
5/1/12,0,22,34,56
6/1/12,0,22,50,72
7/1/12,0,0,50,50
8/1/12,19,22,34,75
9/1/12,0,22,34,56
10/1/12,0,0,17,17
11/1/12,18,27,34,79
12/1/12,0,0,50,50
1/1/13,0,0,50,50
2/1/13,0,16,50,66
3/1/13,0,0,34,34
4/1/13,16,16,34,66
5/1/13,0,16,17,33
6/1/13,0,16,50,66
7/1/13,0,16,50,66
8/1/13,15,22,50,87
9/1/13,0,48,84,132
10/1/13,0,16,67,83
11/1/13,0,16,67,83
12/1/13,14,22,84,120
1/1/14,27,32,100,159
2/1/14,0,43,184,227
3/1/14,13,16,100,129
4/1/14,14,27,184,225
5/1/14,14,58,184,256
6/1/14,31,32,334,397
7/1/14,15,16,317,348
8/1/14,30,27,317,374
9/1/14,44,58,350,452
10/1/14,27,69,350,446
11/1/14,47,527,434,1008
12/1/14,37,179,534,750
1/1/15,39,85,384,508
2/1/15,28,158,534,720
3/1/15,19,100,517,636
4/1/15,35,148,750,933
5/1/15,47,169,650,866
6/1/15,100,274,800,1174
7/1/15,69,243,767,1079
8/1/15,25,111,951,1087
9/1/15,63,179,750,992
10/1/15,40,132,934,1106
11/1/15,44,111,934,1089
12/1/15,25,116,917,1058
1/1/16,55,164,934,1153
2/1/16,35,137,1084,1256
3/1/16,14,95,851,960
4/1/16,64,158,1100,1322
5/1/16,33,143,1084,1260
6/1/16,49,148,1117,1314
7/1/16,30,143,1117,1290
8/1/16,37,137,1234,1408
9/1/16,40,143,1284,1467
10/1/16,73,127,1250,1450
11/1/16,74,222,1267,1563
12/1/16,70,306,1450,1826
1/1/17,53,243,1667,1963
