date,private instagram posts,Total
1/1/11,0,0
2/1/11,0,0
3/1/11,0,0
4/1/11,0,0
5/1/11,7,7
6/1/11,0,0
7/1/11,0,0
8/1/11,0,0
9/1/11,0,0
10/1/11,0,0
11/1/11,7,7
12/1/11,0,0
1/1/12,0,0
2/1/12,0,0
3/1/12,0,0
4/1/12,9,9
5/1/12,6,6
6/1/12,6,6
7/1/12,6,6
8/1/12,0,0
9/1/12,6,6
10/1/12,0,0
11/1/12,0,0
12/1/12,8,8
1/1/13,10,10
2/1/13,0,0
3/1/13,7,7
4/1/13,9,9
5/1/13,5,5
6/1/13,7,7
7/1/13,20,20
8/1/13,33,33
9/1/13,21,21
10/1/13,42,42
11/1/13,29,29
12/1/13,44,44
1/1/14,55,55
2/1/14,53,53
3/1/14,50,50
4/1/14,54,54
5/1/14,55,55
6/1/14,48,48
7/1/14,67,67
8/1/14,50,50
9/1/14,60,60
10/1/14,75,75
11/1/14,72,72
12/1/14,53,53
1/1/15,64,64
2/1/15,75,75
3/1/15,42,42
4/1/15,53,53
5/1/15,47,47
6/1/15,55,55
7/1/15,62,62
8/1/15,60,60
9/1/15,43,43
10/1/15,46,46
11/1/15,54,54
12/1/15,58,58
1/1/16,58,58
2/1/16,45,45
3/1/16,53,53
4/1/16,79,79
5/1/16,73,73
6/1/16,76,76
7/1/16,68,68
8/1/16,76,76
9/1/16,82,82
10/1/16,67,67
11/1/16,86,86
12/1/16,100,100
1/1/17,92,92
