date,Twitter privacy policy,Total
1/1/11,44,44
2/1/11,36,36
3/1/11,35,35
4/1/11,44,44
5/1/11,51,51
6/1/11,24,24
7/1/11,38,38
8/1/11,53,53
9/1/11,46,46
10/1/11,57,57
11/1/11,25,25
12/1/11,41,41
1/1/12,56,56
2/1/12,78,78
3/1/12,80,80
4/1/12,50,50
5/1/12,92,92
6/1/12,48,48
7/1/12,55,55
8/1/12,54,54
9/1/12,64,64
10/1/12,52,52
11/1/12,56,56
12/1/12,66,66
1/1/13,74,74
2/1/13,89,89
3/1/13,100,100
4/1/13,71,71
5/1/13,40,40
6/1/13,45,45
7/1/13,56,56
8/1/13,38,38
9/1/13,54,54
10/1/13,43,43
11/1/13,69,69
12/1/13,44,44
1/1/14,52,52
2/1/14,79,79
3/1/14,81,81
4/1/14,76,76
5/1/14,58,58
6/1/14,59,59
7/1/14,51,51
8/1/14,40,40
9/1/14,77,77
10/1/14,65,65
11/1/14,72,72
12/1/14,47,47
1/1/15,78,78
2/1/15,48,48
3/1/15,84,84
4/1/15,80,80
5/1/15,75,75
6/1/15,54,54
7/1/15,87,87
8/1/15,67,67
9/1/15,70,70
10/1/15,96,96
11/1/15,82,82
12/1/15,76,76
1/1/16,55,55
2/1/16,70,70
3/1/16,51,51
4/1/16,76,76
5/1/16,49,49
6/1/16,72,72
7/1/16,60,60
8/1/16,87,87
9/1/16,77,77
10/1/16,67,67
11/1/16,83,83
12/1/16,51,51
1/1/17,90,90
