date,twitter privacy policy,Total
1/1/11,37,37
2/1/11,46,46
3/1/11,55,55
4/1/11,44,44
5/1/11,62,62
6/1/11,28,28
7/1/11,50,50
8/1/11,54,54
9/1/11,46,46
10/1/11,43,43
11/1/11,12,12
12/1/11,43,43
1/1/12,28,28
2/1/12,94,94
3/1/12,71,71
4/1/12,52,52
5/1/12,91,91
6/1/12,39,39
7/1/12,27,27
8/1/12,38,38
9/1/12,59,59
10/1/12,59,59
11/1/12,55,55
12/1/12,59,59
1/1/13,81,81
2/1/13,74,74
3/1/13,93,93
4/1/13,62,62
5/1/13,48,48
6/1/13,45,45
7/1/13,53,53
8/1/13,44,44
9/1/13,56,56
10/1/13,33,33
11/1/13,82,82
12/1/13,37,37
1/1/14,46,46
2/1/14,81,81
3/1/14,80,80
4/1/14,71,71
5/1/14,55,55
6/1/14,57,57
7/1/14,68,68
8/1/14,43,43
9/1/14,82,82
10/1/14,55,55
11/1/14,72,72
12/1/14,59,59
1/1/15,100,100
2/1/15,32,32
3/1/15,90,90
4/1/15,75,75
5/1/15,84,84
6/1/15,44,44
7/1/15,58,58
8/1/15,72,72
9/1/15,71,71
10/1/15,97,97
11/1/15,79,79
12/1/15,80,80
1/1/16,56,56
2/1/16,85,85
3/1/16,59,59
4/1/16,82,82
5/1/16,40,40
6/1/16,76,76
7/1/16,71,71
8/1/16,94,94
9/1/16,68,68
10/1/16,62,62
11/1/16,87,87
12/1/16,54,54
1/1/17,95,95
