date,Facebook Privacy settings,Total
1/1/11,52,52
2/1/11,42,42
3/1/11,41,41
4/1/11,36,36
5/1/11,41,41
6/1/11,50,50
7/1/11,44,44
8/1/11,59,59
9/1/11,100,100
10/1/11,70,70
11/1/11,65,65
12/1/11,63,63
1/1/12,66,66
2/1/12,61,61
3/1/12,47,47
4/1/12,59,59
5/1/12,53,53
6/1/12,53,53
7/1/12,50,50
8/1/12,68,68
9/1/12,92,92
10/1/12,83,83
11/1/12,76,76
12/1/12,76,76
1/1/13,72,72
2/1/13,72,72
3/1/13,83,83
4/1/13,57,57
5/1/13,57,57
6/1/13,54,54
7/1/13,65,65
8/1/13,55,55
9/1/13,55,55
10/1/13,81,81
11/1/13,45,45
12/1/13,41,41
1/1/14,41,41
2/1/14,35,35
3/1/14,38,38
4/1/14,36,36
5/1/14,39,39
6/1/14,38,38
7/1/14,38,38
8/1/14,39,39
9/1/14,39,39
10/1/14,33,33
11/1/14,34,34
12/1/14,35,35
1/1/15,44,44
2/1/15,33,33
3/1/15,33,33
4/1/15,28,28
5/1/15,34,34
6/1/15,30,30
7/1/15,33,33
8/1/15,35,35
9/1/15,49,49
10/1/15,30,30
11/1/15,29,29
12/1/15,26,26
1/1/16,27,27
2/1/16,26,26
3/1/16,24,24
4/1/16,24,24
5/1/16,24,24
6/1/16,33,33
7/1/16,30,30
8/1/16,25,25
9/1/16,29,29
10/1/16,28,28
11/1/16,25,25
12/1/16,25,25
1/1/17,26,26
