date,gmail app security,gmail privacy policy,Gmail privacy settings,Total
1/1/11,5,15,5,25
2/1/11,11,11,14,36
3/1/11,21,15,17,53
4/1/11,16,8,13,37
5/1/11,21,5,15,41
6/1/11,21,5,11,37
7/1/11,12,10,17,39
8/1/11,12,19,17,48
9/1/11,18,23,11,52
10/1/11,14,15,11,40
11/1/11,20,18,18,56
12/1/11,20,17,17,54
1/1/12,14,44,21,79
2/1/12,13,100,36,149
3/1/12,12,60,53,125
4/1/12,21,20,23,64
5/1/12,22,11,22,55
6/1/12,21,14,16,51
7/1/12,20,4,14,38
8/1/12,31,19,15,65
9/1/12,17,13,19,49
10/1/12,22,17,24,63
11/1/12,17,24,20,61
12/1/12,33,7,29,69
1/1/13,33,9,13,55
2/1/13,24,21,20,65
3/1/13,33,17,24,74
4/1/13,23,14,18,55
5/1/13,21,12,17,50
6/1/13,23,13,28,64
7/1/13,36,13,22,71
8/1/13,33,32,24,89
9/1/13,32,6,24,62
10/1/13,33,26,28,87
11/1/13,36,19,29,84
12/1/13,45,19,32,96
1/1/14,27,18,29,74
2/1/14,34,22,26,82
3/1/14,36,16,31,83
4/1/14,33,24,25,82
5/1/14,18,27,26,71
6/1/14,26,13,32,71
7/1/14,34,15,25,74
8/1/14,45,23,17,85
9/1/14,52,13,23,88
10/1/14,45,24,28,97
11/1/14,62,18,23,103
12/1/14,46,21,30,97
1/1/15,53,16,31,100
2/1/15,55,11,25,91
3/1/15,40,14,26,80
4/1/15,32,20,16,68
5/1/15,41,17,16,74
6/1/15,49,21,32,102
7/1/15,40,17,32,89
8/1/15,40,18,36,94
9/1/15,65,20,25,110
10/1/15,62,12,31,105
11/1/15,58,16,28,102
12/1/15,63,15,24,102
1/1/16,69,15,22,106
2/1/16,51,19,25,95
3/1/16,54,17,19,90
4/1/16,51,14,20,85
5/1/16,52,15,23,90
6/1/16,52,17,14,83
7/1/16,44,19,32,95
8/1/16,56,21,25,102
9/1/16,58,20,20,98
10/1/16,50,19,15,84
11/1/16,47,18,22,87
12/1/16,82,16,15,113
1/1/17,53,16,21,90
