date,how to sign out of google account on android
2011-01-01,0
2011-02-01,17
2011-03-01,15
2011-04-01,15
2011-05-01,15
2011-06-01,19
2011-07-01,23
2011-08-01,15
2011-09-01,14
2011-10-01,13
2011-11-01,13
2011-12-01,13
2012-01-01,12
2012-02-01,38
2012-03-01,24
2012-04-01,17
2012-05-01,15
2012-06-01,12
2012-07-01,24
2012-08-01,28
2012-09-01,59
2012-10-01,21
2012-11-01,21
2012-12-01,14
2013-01-01,19
2013-02-01,22
2013-03-01,35
2013-04-01,39
2013-05-01,38
2013-06-01,39
2013-07-01,51
2013-08-01,51
2013-09-01,22
2013-10-01,38
2013-11-01,42
2013-12-01,54
2014-01-01,47
2014-02-01,37
2014-03-01,52
2014-04-01,43
2014-05-01,66
2014-06-01,45
2014-07-01,65
2014-08-01,62
2014-09-01,54
2014-10-01,48
2014-11-01,23
2014-12-01,37
2015-01-01,19
2015-02-01,43
2015-03-01,61
2015-04-01,49
2015-05-01,45
2015-06-01,37
2015-07-01,87
2015-08-01,65
2015-09-01,49
2015-10-01,63
2015-11-01,49
2015-12-01,45
2016-01-01,69
2016-02-01,55
2016-03-01,47
2016-04-01,51
2016-05-01,51
2016-06-01,76
2016-07-01,100
2016-08-01,68
2016-09-01,81
2016-10-01,83
2016-11-01,86
2016-12-01,65
2017-01-01,57
