date,account recovery
2011-01-01,17
2011-02-01,18
2011-03-01,17
2011-04-01,18
2011-05-01,18
2011-06-01,19
2011-07-01,21
2011-08-01,20
2011-09-01,20
2011-10-01,17
2011-11-01,18
2011-12-01,20
2012-01-01,20
2012-02-01,17
2012-03-01,18
2012-04-01,20
2012-05-01,21
2012-06-01,24
2012-07-01,26
2012-08-01,31
2012-09-01,30
2012-10-01,29
2012-11-01,31
2012-12-01,37
2013-01-01,34
2013-02-01,38
2013-03-01,38
2013-04-01,36
2013-05-01,40
2013-06-01,42
2013-07-01,43
2013-08-01,48
2013-09-01,46
2013-10-01,45
2013-11-01,50
2013-12-01,66
2014-01-01,58
2014-02-01,60
2014-03-01,56
2014-04-01,54
2014-05-01,59
2014-06-01,62
2014-07-01,67
2014-08-01,72
2014-09-01,73
2014-10-01,71
2014-11-01,79
2014-12-01,91
2015-01-01,80
2015-02-01,84
2015-03-01,81
2015-04-01,86
2015-05-01,91
2015-06-01,100
2015-07-01,99
2015-08-01,92
2015-09-01,81
2015-10-01,84
2015-11-01,88
2015-12-01,92
2016-01-01,84
2016-02-01,82
2016-03-01,87
2016-04-01,89
2016-05-01,84
2016-06-01,86
2016-07-01,92
2016-08-01,100
2016-09-01,95
2016-10-01,97
2016-11-01,94
2016-12-01,99
2017-01-01,99
