date,how to delete google account on android
2011-01-01,10
2011-02-01,10
2011-03-01,14
2011-04-01,15
2011-05-01,19
2011-06-01,14
2011-07-01,28
2011-08-01,7
2011-09-01,17
2011-10-01,31
2011-11-01,21
2011-12-01,20
2012-01-01,19
2012-02-01,25
2012-03-01,18
2012-04-01,25
2012-05-01,23
2012-06-01,30
2012-07-01,35
2012-08-01,38
2012-09-01,52
2012-10-01,33
2012-11-01,35
2012-12-01,45
2013-01-01,45
2013-02-01,30
2013-03-01,22
2013-04-01,22
2013-05-01,45
2013-06-01,51
2013-07-01,44
2013-08-01,58
2013-09-01,50
2013-10-01,73
2013-11-01,60
2013-12-01,73
2014-01-01,67
2014-02-01,58
2014-03-01,72
2014-04-01,41
2014-05-01,56
2014-06-01,53
2014-07-01,63
2014-08-01,69
2014-09-01,53
2014-10-01,76
2014-11-01,56
2014-12-01,87
2015-01-01,79
2015-02-01,63
2015-03-01,74
2015-04-01,69
2015-05-01,76
2015-06-01,85
2015-07-01,76
2015-08-01,78
2015-09-01,69
2015-10-01,57
2015-11-01,57
2015-12-01,83
2016-01-01,60
2016-02-01,70
2016-03-01,69
2016-04-01,70
2016-05-01,73
2016-06-01,60
2016-07-01,89
2016-08-01,85
2016-09-01,80
2016-10-01,76
2016-11-01,74
2016-12-01,100
2017-01-01,90
