date,gmail remove account from list
2011-01-01,14
2011-02-01,15
2011-03-01,13
2011-04-01,14
2011-05-01,13
2011-06-01,14
2011-07-01,12
2011-08-01,12
2011-09-01,12
2011-10-01,12
2011-11-01,11
2011-12-01,11
2012-01-01,11
2012-02-01,11
2012-03-01,11
2012-04-01,11
2012-05-01,10
2012-06-01,11
2012-07-01,21
2012-08-01,21
2012-09-01,21
2012-10-01,19
2012-11-01,24
2012-12-01,28
2013-01-01,21
2013-02-01,19
2013-03-01,21
2013-04-01,9
2013-05-01,17
2013-06-01,17
2013-07-01,17
2013-08-01,17
2013-09-01,12
2013-10-01,16
2013-11-01,31
2013-12-01,20
2014-01-01,22
2014-02-01,40
2014-03-01,32
2014-04-01,19
2014-05-01,27
2014-06-01,34
2014-07-01,37
2014-08-01,41
2014-09-01,39
2014-10-01,45
2014-11-01,38
2014-12-01,19
2015-01-01,35
2015-02-01,34
2015-03-01,28
2015-04-01,36
2015-05-01,49
2015-06-01,57
2015-07-01,45
2015-08-01,41
2015-09-01,47
2015-10-01,39
2015-11-01,42
2015-12-01,100
2016-01-01,59
2016-02-01,57
2016-03-01,38
2016-04-01,43
2016-05-01,50
2016-06-01,46
2016-07-01,46
2016-08-01,45
2016-09-01,48
2016-10-01,51
2016-11-01,40
2016-12-01,48
2017-01-01,70
