date,remove google account from chrome
2011-01-01,9
2011-02-01,9
2011-03-01,8
2011-04-01,6
2011-05-01,5
2011-06-01,5
2011-07-01,7
2011-08-01,12
2011-09-01,10
2011-10-01,11
2011-11-01,12
2011-12-01,12
2012-01-01,6
2012-02-01,4
2012-03-01,14
2012-04-01,17
2012-05-01,11
2012-06-01,16
2012-07-01,20
2012-08-01,19
2012-09-01,8
2012-10-01,13
2012-11-01,16
2012-12-01,26
2013-01-01,23
2013-02-01,18
2013-03-01,15
2013-04-01,16
2013-05-01,19
2013-06-01,16
2013-07-01,18
2013-08-01,28
2013-09-01,20
2013-10-01,23
2013-11-01,31
2013-12-01,29
2014-01-01,33
2014-02-01,36
2014-03-01,28
2014-04-01,41
2014-05-01,44
2014-06-01,49
2014-07-01,50
2014-08-01,55
2014-09-01,41
2014-10-01,42
2014-11-01,44
2014-12-01,56
2015-01-01,61
2015-02-01,64
2015-03-01,61
2015-04-01,61
2015-05-01,64
2015-06-01,66
2015-07-01,63
2015-08-01,68
2015-09-01,75
2015-10-01,65
2015-11-01,53
2015-12-01,48
2016-01-01,65
2016-02-01,74
2016-03-01,49
2016-04-01,49
2016-05-01,52
2016-06-01,61
2016-07-01,69
2016-08-01,84
2016-09-01,72
2016-10-01,75
2016-11-01,100
2016-12-01,83
2017-01-01,90
