date,gmail sign up
2011-01-01,11
2011-02-01,17
2011-03-01,13
2011-04-01,10
2011-05-01,12
2011-06-01,19
2011-07-01,22
2011-08-01,23
2011-09-01,33
2011-10-01,15
2011-11-01,7
2011-12-01,6
2012-01-01,11
2012-02-01,13
2012-03-01,9
2012-04-01,9
2012-05-01,9
2012-06-01,12
2012-07-01,7
2012-08-01,7
2012-09-01,11
2012-10-01,19
2012-11-01,6
2012-12-01,7
2013-01-01,10
2013-02-01,18
2013-03-01,8
2013-04-01,8
2013-05-01,11
2013-06-01,38
2013-07-01,13
2013-08-01,11
2013-09-01,10
2013-10-01,46
2013-11-01,34
2013-12-01,16
2014-01-01,37
2014-02-01,15
2014-03-01,69
2014-04-01,17
2014-05-01,14
2014-06-01,11
2014-07-01,25
2014-08-01,50
2014-09-01,17
2014-10-01,20
2014-11-01,81
2014-12-01,30
2015-01-01,15
2015-02-01,18
2015-03-01,23
2015-04-01,87
2015-05-01,14
2015-06-01,14
2015-07-01,17
2015-08-01,100
2015-09-01,18
2015-10-01,35
2015-11-01,22
2015-12-01,16
2016-01-01,26
2016-02-01,65
2016-03-01,66
2016-04-01,19
2016-05-01,27
2016-06-01,48
2016-07-01,91
2016-08-01,55
2016-09-01,21
2016-10-01,37
2016-11-01,30
2016-12-01,53
2017-01-01,43
