date,how to delete facebook account forever
2011-01-01,54
2011-02-01,38
2011-03-01,59
2011-04-01,61
2011-05-01,64
2011-06-01,78
2011-07-01,95
2011-08-01,100
2011-09-01,68
2011-10-01,29
2011-11-01,15
2011-12-01,22
2012-01-01,29
2012-02-01,27
2012-03-01,47
2012-04-01,34
2012-05-01,24
2012-06-01,27
2012-07-01,25
2012-08-01,16
2012-09-01,15
2012-10-01,23
2012-11-01,15
2012-12-01,26
2013-01-01,13
2013-02-01,11
2013-03-01,18
2013-04-01,20
2013-05-01,11
2013-06-01,17
2013-07-01,9
2013-08-01,37
2013-09-01,11
2013-10-01,13
2013-11-01,10
2013-12-01,10
2014-01-01,9
2014-02-01,14
2014-03-01,13
2014-04-01,12
2014-05-01,15
2014-06-01,10
2014-07-01,28
2014-08-01,14
2014-09-01,9
2014-10-01,8
2014-11-01,7
2014-12-01,13
2015-01-01,10
2015-02-01,11
2015-03-01,8
2015-04-01,14
2015-05-01,18
2015-06-01,11
2015-07-01,18
2015-08-01,15
2015-09-01,12
2015-10-01,11
2015-11-01,17
2015-12-01,9
2016-01-01,14
2016-02-01,11
2016-03-01,12
2016-04-01,13
2016-05-01,14
2016-06-01,11
2016-07-01,14
2016-08-01,11
2016-09-01,14
2016-10-01,11
2016-11-01,5
2016-12-01,9
2017-01-01,20
