date,Set instagram to private
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,4
2011-10-01,0
2011-11-01,0
2011-12-01,8
2012-01-01,0
2012-02-01,4
2012-03-01,7
2012-04-01,11
2012-05-01,12
2012-06-01,16
2012-07-01,20
2012-08-01,19
2012-09-01,28
2012-10-01,29
2012-11-01,29
2012-12-01,43
2013-01-01,40
2013-02-01,24
2013-03-01,30
2013-04-01,22
2013-05-01,42
2013-06-01,20
2013-07-01,56
2013-08-01,43
2013-09-01,53
2013-10-01,46
2013-11-01,59
2013-12-01,67
2014-01-01,71
2014-02-01,50
2014-03-01,65
2014-04-01,75
2014-05-01,87
2014-06-01,76
2014-07-01,63
2014-08-01,81
2014-09-01,61
2014-10-01,55
2014-11-01,64
2014-12-01,100
2015-01-01,60
2015-02-01,65
2015-03-01,38
2015-04-01,34
2015-05-01,38
2015-06-01,41
2015-07-01,49
2015-08-01,52
2015-09-01,43
2015-10-01,47
2015-11-01,46
2015-12-01,42
2016-01-01,38
2016-02-01,30
2016-03-01,47
2016-04-01,49
2016-05-01,41
2016-06-01,42
2016-07-01,58
2016-08-01,47
2016-09-01,43
2016-10-01,39
2016-11-01,43
2016-12-01,44
2017-01-01,41
