date,how to unfollow someone on facebook,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,how to uninstall gmail,google hangouts privacy,youtube private channel,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account
2011-01-01,4,24,0,0,0,46,0,61,0,0,136,96
2011-02-01,4,14,0,0,0,52,0,61,0,0,136,100
2011-03-01,4,17,3,0,0,48,0,55,0,0,152,116
2011-04-01,4,19,5,0,0,52,0,68,0,0,140,124
2011-05-01,7,21,7,0,0,48,0,59,0,0,124,160
2011-06-01,7,17,5,0,0,64,0,64,4,0,140,164
2011-07-01,3,26,3,0,0,53,0,63,4,0,144,228
2011-08-01,3,21,3,0,0,68,0,75,4,0,156,196
2011-09-01,6,21,3,0,0,48,0,79,4,0,148,212
2011-10-01,4,21,3,0,0,48,0,65,4,0,156,212
2011-11-01,3,19,7,0,0,68,3,78,4,0,136,220
2011-12-01,4,19,5,0,0,60,3,115,4,0,140,216
2012-01-01,6,17,3,0,0,56,3,115,4,0,148,232
2012-02-01,4,26,5,0,0,42,5,103,4,0,116,160
2012-03-01,8,26,5,0,0,49,6,109,8,0,144,156
2012-04-01,3,24,3,0,0,52,3,96,12,0,136,192
2012-05-01,3,17,3,3,0,49,3,84,8,0,128,172
2012-06-01,5,28,3,3,0,59,3,82,16,0,168,196
2012-07-01,5,28,3,3,0,56,3,86,8,4,180,208
2012-08-01,10,26,3,7,0,67,6,115,16,4,164,256
2012-09-01,6,31,5,12,0,53,6,115,8,4,204,232
2012-10-01,9,26,5,12,0,61,6,90,12,0,172,168
2012-11-01,9,24,3,61,0,67,3,92,12,0,172,204
2012-12-01,6,28,5,56,0,61,3,113,20,0,184,224
2013-01-01,23,35,5,45,0,61,3,119,12,0,156,236
2013-02-01,23,31,5,31,0,49,3,117,20,0,176,236
2013-03-01,46,28,5,47,0,57,3,126,12,0,160,208
2013-04-01,79,35,5,66,0,57,3,118,12,0,160,248
2013-05-01,40,21,3,66,0,83,6,96,16,0,164,264
2013-06-01,25,38,7,91,0,86,7,96,20,4,204,284
2013-07-01,33,38,5,103,0,69,7,113,16,4,192,300
2013-08-01,68,47,5,91,0,83,6,136,20,4,212,324
2013-09-01,55,38,5,73,0,83,3,123,24,4,192,276
2013-10-01,15,33,5,75,12,78,5,115,20,0,212,276
2013-11-01,33,38,10,84,12,76,6,102,16,4,212,264
2013-12-01,54,35,5,114,17,80,6,115,28,4,212,340
2014-01-01,68,40,3,170,17,100,6,115,20,4,228,352
2014-02-01,58,35,3,91,14,87,7,121,24,4,204,328
2014-03-01,39,40,3,124,12,87,11,100,24,0,212,328
2014-04-01,53,38,3,117,14,84,6,90,28,0,208,336
2014-05-01,51,35,3,180,19,78,9,87,20,4,192,316
2014-06-01,85,33,3,163,17,84,6,96,24,4,180,304
2014-07-01,97,42,3,152,21,82,7,96,20,4,220,364
2014-08-01,68,42,3,112,14,95,6,106,16,4,240,340
2014-09-01,42,45,3,114,21,99,9,83,20,4,248,324
2014-10-01,37,49,7,142,19,92,7,86,16,4,224,320
2014-11-01,61,35,3,154,14,94,2,86,16,0,232,308
2014-12-01,77,38,5,170,17,80,5,103,28,4,228,300
2015-01-01,77,38,3,233,21,84,9,91,20,0,216,308
2015-02-01,53,40,3,140,19,80,6,99,24,4,216,284
2015-03-01,38,42,5,168,17,95,6,100,24,4,200,300
2015-04-01,43,45,3,152,24,86,5,94,28,0,188,284
2015-05-01,66,40,5,128,28,73,9,115,24,4,184,284
2015-06-01,100,42,3,140,21,83,5,90,24,4,204,316
2015-07-01,50,40,3,182,40,99,7,92,24,0,244,336
2015-08-01,45,38,5,191,17,106,6,103,32,0,240,364
2015-09-01,65,45,3,154,17,86,9,86,28,0,196,304
2015-10-01,53,35,3,121,14,71,6,84,24,4,220,312
2015-11-01,42,40,3,128,21,83,7,90,20,4,200,288
2015-12-01,41,52,5,152,17,75,3,92,16,4,208,316
2016-01-01,43,38,5,166,21,88,6,103,36,0,196,360
2016-02-01,67,54,5,152,19,79,6,76,24,0,188,324
2016-03-01,45,47,3,168,28,67,6,96,24,4,168,288
2016-04-01,38,47,5,187,28,73,3,110,32,52,168,284
2016-05-01,32,49,3,219,31,73,5,94,36,8,180,288
2016-06-01,43,52,3,196,31,88,3,84,32,8,176,316
2016-07-01,69,40,3,210,28,86,5,92,40,8,180,400
2016-08-01,40,54,3,187,26,80,5,99,36,4,184,376
2016-09-01,40,40,3,187,24,88,6,84,28,4,164,340
2016-10-01,35,38,5,161,33,71,6,90,28,4,184,324
2016-11-01,58,45,3,166,19,84,5,86,32,4,196,320
2016-12-01,63,45,3,196,35,82,6,92,36,8,196,388
2017-01-01,64,54,5,207,40,88,3,102,32,8,184,368
