date,how to browse anonymously,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,encrypted phone calls,how to unfriend someone on facebook,private twitter account
2011-01-01,43,8,286,8,8,131,70
2011-02-01,40,0,250,8,8,177,54
2011-03-01,36,0,322,8,8,208,100
2011-04-01,38,0,272,8,16,239,124
2011-05-01,33,0,308,8,8,154,147
2011-06-01,62,0,365,8,16,262,177
2011-07-01,70,8,493,8,24,262,162
2011-08-01,45,8,443,15,8,347,193
2011-09-01,69,8,479,22,8,316,177
2011-10-01,41,8,379,15,8,254,324
2011-11-01,24,8,472,8,16,177,439
2011-12-01,44,8,508,15,8,239,285
2012-01-01,58,8,493,15,8,370,193
2012-02-01,69,15,429,15,16,324,185
2012-03-01,78,15,400,8,8,316,224
2012-04-01,77,8,508,15,24,377,270
2012-05-01,61,8,465,8,16,416,308
2012-06-01,79,8,586,22,16,462,316
2012-07-01,74,8,643,15,16,439,339
2012-08-01,45,8,686,15,16,316,347
2012-09-01,59,8,500,22,24,262,285
2012-10-01,83,8,393,15,16,454,347
2012-11-01,50,8,508,15,16,631,331
2012-12-01,58,8,543,15,16,254,416
2013-01-01,73,8,600,65,16,185,462
2013-02-01,53,8,622,50,8,185,531
2013-03-01,59,8,572,93,16,608,470
2013-04-01,83,8,565,165,8,231,416
2013-05-01,60,22,529,86,16,216,493
2013-06-01,60,15,586,50,39,208,577
2013-07-01,61,15,665,79,31,600,770
2013-08-01,69,15,715,150,31,293,562
2013-09-01,62,8,543,129,16,239,608
2013-10-01,53,8,458,58,24,170,508
2013-11-01,49,15,458,72,31,431,577
2013-12-01,59,22,529,122,24,554,600
2014-01-01,76,15,529,208,16,224,639
2014-02-01,55,15,479,158,24,185,554
2014-03-01,81,22,465,108,31,193,731
2014-04-01,65,29,465,122,16,408,724
2014-05-01,44,8,422,158,16,500,531
2014-06-01,80,15,458,208,24,216,508
2014-07-01,100,15,558,229,24,208,624
2014-08-01,68,22,572,172,16,200,616
2014-09-01,65,15,415,115,24,208,547
2014-10-01,68,22,386,93,16,185,500
2014-11-01,63,8,386,129,24,177,500
2014-12-01,68,22,436,150,16,177,570
2015-01-01,67,22,465,179,24,162,508
2015-02-01,60,22,343,115,31,170,393
2015-03-01,62,8,436,108,24,185,408
2015-04-01,81,29,422,122,31,231,400
2015-05-01,43,15,386,165,16,547,400
2015-06-01,64,8,422,215,16,370,377
2015-07-01,76,22,393,108,16,231,431
2015-08-01,84,8,415,100,24,247,470
2015-09-01,89,8,350,143,31,539,439
2015-10-01,77,15,286,122,16,454,393
2015-11-01,57,8,315,86,24,177,447
2015-12-01,58,15,365,100,31,170,393
2016-01-01,58,15,408,129,24,316,439
2016-02-01,66,8,365,150,31,508,439
2016-03-01,67,15,322,122,31,416,454
2016-04-01,38,8,308,79,39,224,416
2016-05-01,34,0,343,72,24,193,354
2016-06-01,53,15,365,115,31,354,339
2016-07-01,56,22,422,179,31,554,393
2016-08-01,51,15,343,108,31,308,385
2016-09-01,57,8,315,93,47,208,331
2016-10-01,56,15,300,108,16,231,300
2016-11-01,58,15,279,129,24,747,324
2016-12-01,65,8,358,143,31,300,331
2017-01-01,66,8,358,143,31,224,370
