date,how to delete twitter,search without history,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,delete account instagram,how to delete gmail,how to unfollow someone on snapchat,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,how to delete a twitter account,how to delete snapchat,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,how to unfriend someone on facebook,private twitter account,best anonymous browser,how to browse anonymously,delete hangout history
2011-01-01,17,1,0,0,0,4,0,31,2,3,0,60,0,0,2,47,0,1,0,0,0,6,4,0,0,0,2,1,0,1,0
2011-02-01,18,1,0,0,0,5,0,25,2,3,0,60,0,0,2,45,0,2,0,0,0,4,4,0,0,0,2,1,0,1,0
2011-03-01,21,1,0,0,0,5,0,23,2,3,0,60,0,0,2,52,0,3,0,0,0,6,5,0,0,0,4,2,0,1,0
2011-04-01,26,1,0,0,0,3,0,20,2,3,0,65,0,0,2,50,0,2,0,0,0,6,4,0,0,0,3,2,1,0,0
2011-05-01,26,1,0,0,0,4,0,24,2,3,0,62,0,0,2,50,0,3,0,0,0,6,7,0,0,0,3,2,0,0,0
2011-06-01,31,1,0,0,0,6,0,25,2,3,0,72,0,0,2,67,0,4,0,0,0,6,7,0,0,0,4,3,0,1,0
2011-07-01,37,1,0,0,0,9,0,28,2,3,3,85,0,0,2,77,0,6,0,0,0,6,10,0,0,0,5,3,1,1,0
2011-08-01,37,1,0,0,0,8,0,33,3,3,3,82,0,0,3,78,0,5,0,0,0,8,8,0,0,0,5,3,0,1,0
2011-09-01,32,1,0,0,0,7,0,33,2,3,3,81,0,0,6,71,0,5,0,0,0,6,10,0,0,0,5,3,1,1,0
2011-10-01,37,1,0,0,0,7,0,34,2,3,3,77,0,0,5,72,0,5,0,0,0,6,8,0,0,0,5,5,0,1,0
2011-11-01,44,1,0,0,0,8,0,39,3,3,3,81,0,0,5,73,0,6,0,0,0,6,9,0,0,0,3,7,0,0,0
2011-12-01,48,1,0,0,0,9,0,36,3,7,5,85,0,0,4,100,0,6,0,0,0,6,9,0,0,0,4,5,0,1,0
2012-01-01,54,1,0,0,0,7,0,38,2,5,7,86,0,2,4,88,0,8,0,0,0,6,10,0,0,0,5,4,1,1,0
2012-02-01,52,1,0,0,0,7,0,39,2,5,7,74,0,0,4,81,0,6,0,0,0,6,6,1,0,0,5,3,0,1,0
2012-03-01,51,1,0,0,0,6,0,37,2,5,11,72,0,2,4,80,0,7,0,0,0,6,6,1,0,0,6,3,0,1,0
2012-04-01,59,1,0,0,0,9,0,27,2,5,30,75,0,0,4,83,0,7,0,0,0,6,7,1,0,0,6,4,0,1,0
2012-05-01,60,1,0,0,0,8,0,27,2,5,23,75,0,0,4,77,0,7,0,0,0,6,7,1,0,0,7,5,0,1,0
2012-06-01,66,1,0,0,0,9,0,27,3,5,30,79,0,0,4,84,0,8,0,0,0,6,8,2,0,0,7,4,0,1,0
2012-07-01,84,1,0,0,0,11,0,37,2,5,32,89,0,0,4,88,0,10,0,0,0,8,9,2,0,0,7,6,0,1,0
2012-08-01,80,1,0,0,0,12,0,38,2,5,30,93,0,0,6,90,0,11,0,0,0,8,11,2,0,0,5,5,0,1,0
2012-09-01,69,1,0,0,0,8,0,29,2,5,32,88,0,0,7,83,0,11,2,0,0,8,10,3,0,0,4,5,0,1,0
2012-10-01,68,1,1,0,0,7,0,24,3,5,32,81,0,0,7,82,0,9,4,0,0,8,7,2,0,0,7,6,0,1,0
2012-11-01,71,1,2,0,0,8,0,32,2,5,32,82,0,0,6,87,0,9,10,0,0,6,8,2,0,0,9,6,0,1,0
2012-12-01,81,1,2,0,0,8,0,33,2,5,65,98,0,0,5,102,0,9,16,0,0,8,9,3,0,0,4,6,1,1,0
2013-01-01,87,1,2,0,0,9,2,28,3,5,71,95,0,0,5,94,0,11,12,0,0,6,10,4,0,0,3,8,0,1,0
