date,how to encrypt whatsapp messages,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,44,0,0,0,0,218,6,8,8,0,70,0,0,16,13,0,29,0
2011-02-01,0,27,0,0,0,0,218,6,8,8,0,100,0,0,11,18,0,21,7
2011-03-01,0,31,5,0,0,0,259,6,8,8,0,147,0,0,11,16,0,34,6
2011-04-01,0,35,9,0,0,0,195,6,0,16,0,93,0,0,11,27,0,21,0
2011-05-01,0,40,14,0,0,0,224,12,0,8,0,147,0,0,6,29,0,26,0
2011-06-01,0,31,9,0,0,0,306,12,0,8,0,193,6,0,6,18,0,44,0
2011-07-01,0,48,5,0,0,0,359,6,0,8,0,254,6,0,11,22,0,42,0
2011-08-01,0,40,5,0,0,0,318,6,0,8,0,239,6,0,6,19,0,33,0
2011-09-01,0,40,5,0,0,0,342,12,0,8,0,224,6,0,6,20,6,46,0
2011-10-01,0,40,5,0,0,0,342,6,0,8,0,208,11,0,11,13,6,28,0
2011-11-01,0,35,14,0,0,6,395,6,0,8,0,277,6,0,6,11,6,15,0
2011-12-01,0,35,9,0,0,6,395,6,0,8,8,293,11,0,11,9,6,43,0
2012-01-01,0,31,5,0,0,6,353,12,0,8,8,354,16,0,6,24,5,42,0
2012-02-01,0,48,9,0,0,6,353,6,0,8,8,277,27,0,6,18,5,64,0
2012-03-01,0,48,9,0,0,12,306,18,0,8,8,316,22,0,16,12,5,44,0
2012-04-01,0,44,5,0,0,6,436,6,0,8,8,370,37,0,16,11,5,49,0
2012-05-01,0,31,5,5,0,6,400,6,8,16,16,316,53,0,11,13,5,36,0
2012-06-01,0,53,5,5,0,6,477,12,8,8,8,454,74,0,11,19,5,36,5
2012-07-01,5,53,5,5,0,6,501,12,0,8,8,447,106,0,11,10,5,61,4
