date,how to delete a snapchat account,search without history,government monitoring social media,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,8,0,0,0,50,0,334,0,0,61,47,0,0,3,3,0,6,0
2011-02-01,0,8,2,0,0,50,0,263,0,0,50,47,0,0,2,2,0,6,0
2011-03-01,0,9,1,0,0,55,5,242,0,0,63,57,0,0,3,3,0,7,1
2011-04-01,0,9,1,0,0,42,5,217,2,0,50,50,0,0,3,6,0,5,1
2011-05-01,0,6,1,0,0,50,0,255,2,0,50,66,0,0,2,4,0,5,1
2011-06-01,0,9,1,0,0,63,0,267,2,0,54,78,2,0,2,2,0,9,1
2011-07-01,0,11,1,0,0,92,5,292,2,0,61,102,2,0,5,6,1,14,1
2011-08-01,0,7,1,0,0,84,5,346,2,0,71,80,2,0,2,3,1,7,0
2011-09-01,0,10,2,0,0,80,5,346,2,0,57,94,2,0,3,7,1,11,0
2011-10-01,0,9,2,0,0,80,5,359,2,0,61,87,3,0,4,3,1,8,0
2011-11-01,0,11,3,0,0,84,5,417,2,0,64,90,3,0,3,5,1,4,0
2011-12-01,0,9,1,0,0,96,5,380,2,0,68,90,4,0,2,4,1,5,0
2012-01-01,0,10,1,0,0,84,5,400,2,0,59,97,3,0,4,6,1,9,0
2012-02-01,0,12,2,0,0,71,5,417,4,0,54,69,6,0,2,4,1,12,0
2012-03-01,0,9,1,0,0,67,5,396,2,0,66,71,6,0,3,4,1,11,0
2012-04-01,0,14,1,0,0,105,5,288,4,0,59,83,12,0,4,2,1,12,0
2012-05-01,2,9,1,0,0,84,0,280,4,0,63,76,13,0,4,3,1,11,0
2012-06-01,1,13,1,0,0,105,0,284,7,2,68,78,17,0,3,3,1,12,1
2012-07-01,2,11,2,0,0,117,5,392,4,2,82,92,20,0,2,3,1,15,1
2012-08-01,2,10,2,0,0,126,5,400,6,2,73,107,26,2,3,4,1,10,1
2012-09-01,5,11,1,0,0,88,5,305,4,2,90,95,26,2,4,3,1,11,1
2012-10-01,9,14,2,0,0,75,0,259,6,2,76,76,24,3,4,3,3,9,1
2012-11-01,21,13,1,0,0,92,5,338,7,2,69,82,18,3,2,5,1,8,1
2012-12-01,23,11,1,0,0,92,5,350,9,2,78,100,36,4,4,6,1,11,2
2013-01-01,22,15,3,0,0,100,13,300,6,2,69,99,45,2,3,4,1,10,2
2013-02-01,8,13,1,0,5,109,13,271,7,2,71,97,51,2,4,4,1,9,1
2013-03-01,15,14,2,0,0,100,17,288,6,2,76,92,34,2,3,4,1,11,1
2013-04-01,28,14,1,0,0,96,30,317,6,2,76,95,35,2,4,6,1,15,1
2013-05-01,23,15,2,0,5,96,17,246,7,2,73,109,42,2,4,8,1,11,3
2013-06-01,42,17,3,0,5,100,9,246,9,2,82,116,60,3,6,5,2,12,5
2013-07-01,43,15,1,0,0,126,13,309,9,2,90,126,45,3,5,5,1,9,8
2013-08-01,34,20,1,0,0,134,25,305,13,0,85,135,51,4,3,6,2,11,7
2013-09-01,27,14,2,0,0,100,25,221,7,0,80,114,42,4,4,6,2,12,5
2013-10-01,36,11,1,5,0,80,9,234,9,0,78,123,38,4,4,3,1,9,7
2013-11-01,29,13,2,6,5,88,13,238,9,0,95,126,33,4,5,6,1,7,4
2013-12-01,54,15,1,6,5,96,21,305,11,0,102,149,52,4,5,6,1,12,7
2014-01-01,71,18,2,7,5,92,34,255,11,0,94,150,53,5,5,7,1,11,9
2014-02-01,42,14,1,5,5,88,25,213,9,2,90,132,47,6,4,5,1,10,8
2014-03-01,47,14,2,5,5,88,17,205,11,0,87,145,51,4,6,4,2,11,7
2014-04-01,48,14,2,5,5,84,21,251,11,0,88,140,50,3,4,5,1,10,8
2014-05-01,70,14,2,9,5,75,25,263,7,2,75,133,49,13,3,6,1,8,8
