date,how to delete gmail,search without history,how to delete a snapchat account,who can see my snapchat story,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,delete account instagram,how to delete facebook,how to unfollow someone on instagram,how to unfollow someone on snapchat,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,how to delete a twitter account,how to delete snapchat,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,how to unfriend someone on facebook,private twitter account,how to delete twitter,best anonymous browser,how to browse anonymously,delete hangout history
2011-01-01,42,0,0,0,3,0,22,1,2,0,296,0,0,1,33,0,2,0,0,0,4,3,0,0,2,1,12,0,0,0
2011-02-01,42,1,0,0,3,0,18,2,2,0,277,0,0,1,32,0,2,0,0,0,3,3,0,0,2,1,13,0,0,0
2011-03-01,42,1,0,0,4,0,16,1,2,0,267,0,0,1,36,0,3,0,0,0,4,4,0,0,3,1,15,0,1,0
2011-04-01,46,1,0,0,3,0,14,1,2,0,281,0,0,1,35,0,2,0,0,0,3,3,0,0,2,2,18,0,0,0
2011-05-01,44,0,0,0,3,0,17,1,2,0,286,0,0,1,35,0,2,0,0,0,3,4,0,0,2,1,19,0,0,0
2011-06-01,51,1,0,0,4,0,18,2,2,0,315,0,0,1,48,0,3,0,0,0,4,5,0,0,3,2,22,0,1,0
2011-07-01,60,1,0,0,6,0,20,1,2,2,343,0,0,1,54,0,5,0,0,0,4,7,0,0,3,2,26,0,1,0
2011-08-01,58,0,0,0,6,0,23,2,2,2,420,0,0,1,55,0,3,0,0,0,5,5,0,0,4,2,27,0,0,0
2011-09-01,57,0,0,0,5,0,23,1,2,2,405,0,0,4,50,0,3,0,0,0,4,6,0,0,4,2,23,0,1,0
2011-10-01,54,1,0,0,5,0,24,2,2,2,415,0,0,3,51,0,5,0,0,0,4,6,0,0,3,4,26,0,1,0
2011-11-01,57,1,0,0,6,0,28,2,2,2,434,0,0,3,52,0,5,0,0,0,4,6,0,0,2,5,31,0,0,0
2011-12-01,60,1,0,0,6,0,26,2,5,3,477,0,0,2,71,0,5,0,0,0,5,6,0,0,3,3,34,0,0,0
2012-01-01,61,1,0,0,6,0,27,1,3,5,467,0,0,2,62,0,6,0,0,0,4,7,0,0,4,3,39,0,1,0
2012-02-01,52,1,0,0,5,0,28,2,3,5,467,0,0,2,57,0,5,0,0,0,4,5,0,0,4,2,37,0,1,0
2012-03-01,51,1,0,0,4,0,27,1,3,8,477,0,0,2,56,0,6,0,0,0,5,5,0,0,4,2,36,0,1,0
2012-04-01,53,1,0,0,7,0,19,1,3,21,439,0,0,2,59,0,6,0,0,0,4,6,1,0,4,3,42,0,1,0
2012-05-01,53,1,0,0,6,0,19,1,3,17,420,0,0,2,54,0,6,0,0,0,4,5,1,0,5,3,42,0,1,0
2012-06-01,56,1,0,0,7,0,19,2,3,21,410,0,0,2,59,0,7,0,0,0,5,5,1,0,5,3,47,0,1,0
2012-07-01,63,1,0,0,8,0,26,1,3,23,410,0,0,2,62,0,7,0,0,0,5,6,1,0,5,4,60,0,1,0
2012-08-01,66,1,0,0,8,0,27,2,3,21,424,0,0,3,64,0,9,0,0,0,5,7,2,0,3,3,57,0,1,0
2012-09-01,62,1,0,0,6,0,20,1,3,23,429,0,0,5,59,0,9,2,0,0,6,6,2,0,3,3,49,0,1,0
2012-10-01,57,1,1,0,5,0,17,2,3,23,377,0,0,5,58,0,7,3,0,0,5,5,1,0,5,4,48,0,1,0
