date,how to delete facebook,how to delete a snapchat account,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,delete account instagram,how to unfollow someone on instagram,how to delete gmail,how to change facebook privacy settings,how to delete youtube,how to delete a twitter account,how to delete snapchat,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to unfriend someone on facebook,private twitter account,how to delete twitter
2011-01-01,61,0,1,0,5,0,0,0,0,8,0,7,0,0,1,1,0,0,0,2
2011-02-01,57,0,1,0,4,0,0,0,0,9,0,6,0,0,1,1,0,0,0,3
2011-03-01,54,0,1,0,3,0,0,0,0,9,0,7,0,0,1,1,0,1,0,3
2011-04-01,58,0,1,0,3,0,0,0,0,9,0,7,0,0,1,1,0,0,0,4
2011-05-01,60,0,1,0,3,0,0,0,0,9,0,7,0,0,1,1,0,0,0,4
2011-06-01,66,0,1,0,4,0,0,0,0,10,0,10,1,0,1,1,0,1,0,4
2011-07-01,71,0,1,0,4,0,0,0,0,12,0,11,1,0,1,1,0,1,0,5
2011-08-01,86,0,1,0,5,0,0,0,0,12,0,11,1,0,1,1,0,1,0,5
2011-09-01,84,0,1,0,5,0,0,0,0,11,1,10,1,0,1,1,0,1,0,5
2011-10-01,86,0,1,0,5,0,0,0,0,11,1,10,1,0,1,1,0,1,1,5
2011-11-01,90,0,1,0,6,0,0,0,0,11,1,10,1,0,1,1,0,0,1,6
2011-12-01,100,0,1,0,5,0,1,1,0,12,0,14,1,0,1,1,0,1,1,7
2012-01-01,98,0,1,0,5,0,1,1,0,12,0,13,1,0,1,1,0,1,1,8
2012-02-01,97,0,1,0,6,0,1,1,0,11,1,11,1,0,1,1,0,1,0,7
2012-03-01,99,0,1,0,5,0,1,1,0,10,0,11,1,0,1,1,0,1,0,7
2012-04-01,91,0,1,0,4,0,1,4,0,11,0,12,1,0,1,1,0,1,1,8
2012-05-01,86,0,1,0,4,0,0,3,0,11,0,11,1,0,1,1,0,1,1,9
2012-06-01,85,0,1,0,4,0,1,4,0,11,0,12,1,0,1,1,0,1,1,9
2012-07-01,83,0,2,0,5,0,1,4,0,13,0,13,1,0,1,1,0,1,1,12
2012-08-01,89,0,2,0,5,0,1,4,0,13,1,13,2,0,1,1,0,1,1,11
2012-09-01,89,0,1,0,4,0,1,4,0,13,1,12,2,0,1,1,0,1,1,10
2012-10-01,78,0,1,0,3,0,1,4,0,12,1,12,1,0,1,1,0,1,1,10
2012-11-01,72,0,1,0,5,0,1,5,0,12,1,12,1,1,1,1,0,1,1,10
2012-12-01,81,0,1,0,5,0,1,9,0,14,1,15,1,2,1,1,0,1,1,12
2013-01-01,78,0,1,0,4,0,1,10,0,14,1,13,2,2,1,1,1,0,1,13
2013-02-01,71,0,1,0,4,0,1,11,0,14,0,13,2,1,1,1,1,0,1,12
2013-03-01,67,0,1,0,4,0,1,7,0,14,1,13,1,2,1,1,0,1,1,11
2013-04-01,64,0,1,0,4,0,1,6,0,14,0,13,1,3,1,1,0,1,1,10
2013-05-01,61,0,1,0,3,0,1,8,0,15,1,13,2,4,1,2,1,1,1,10
2013-06-01,61,1,1,0,3,0,1,11,0,16,0,14,1,5,1,2,1,1,1,11
2013-07-01,62,1,2,0,4,0,1,8,1,16,1,14,1,5,1,2,1,1,2,12
2013-08-01,62,0,2,0,4,1,1,8,0,17,0,15,1,4,1,2,1,1,1,12
2013-09-01,57,0,1,0,3,0,1,7,0,16,0,13,1,4,1,2,1,1,1,10
2013-10-01,54,1,1,0,3,0,1,8,0,16,0,12,1,9,1,2,1,0,1,10
2013-11-01,54,0,1,0,3,0,1,6,0,16,0,12,1,8,1,2,0,1,1,10
2013-12-01,57,1,1,0,4,0,1,6,0,18,0,13,1,10,1,2,1,1,1,11
2014-01-01,59,1,1,0,3,1,1,9,0,20,0,14,2,13,1,2,1,1,2,12
