date,whatsapp security settings,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,84,0,0,0,0,412,12,0,0,30,26,0,72,0
2011-02-01,0,50,0,0,0,0,412,12,0,0,20,28,0,41,0
2011-03-01,0,59,9,0,0,0,489,12,0,0,20,37,0,43,13
2011-04-01,0,67,17,0,0,0,367,12,0,0,20,66,0,46,0
2011-05-01,0,75,25,0,0,0,423,23,0,0,10,57,0,43,0
2011-06-01,0,59,17,0,0,0,578,23,10,0,10,44,0,96,0
2011-07-01,0,92,9,0,0,0,678,12,10,0,20,44,0,88,0
2011-08-01,12,75,9,0,0,0,600,12,10,0,10,19,0,60,0
2011-09-01,0,75,9,0,0,0,645,23,10,0,10,52,13,93,0
2011-10-01,0,75,9,0,0,0,645,12,20,0,20,28,11,55,0
2011-11-01,0,67,25,0,0,12,745,12,10,0,10,28,11,38,0
2011-12-01,0,67,17,0,0,12,745,12,20,0,20,22,11,97,0
2012-01-01,0,59,9,0,0,12,667,23,30,0,10,50,10,70,0
2012-02-01,21,92,17,0,0,12,667,12,50,0,10,26,10,123,0
2012-03-01,10,92,17,0,0,23,578,34,40,0,30,20,10,93,0
2012-04-01,10,84,9,0,0,12,823,12,70,0,30,20,10,82,0
2012-05-01,29,59,9,9,0,12,756,12,100,0,20,29,10,67,0
2012-06-01,10,100,9,9,0,12,900,23,140,0,20,25,11,84,10
2012-07-01,15,100,9,9,0,12,945,23,200,0,20,20,10,102,10
2012-08-01,19,92,9,25,0,23,934,34,210,0,20,34,10,76,10
2012-09-01,10,109,17,42,0,23,745,23,180,0,20,25,10,72,10
2012-10-01,17,92,17,42,0,23,589,34,150,0,30,35,10,78,10
2012-11-01,13,84,9,217,0,12,700,34,180,0,20,44,10,105,10
2012-12-01,13,100,17,200,0,12,778,23,260,10,40,35,10,93,13
2013-01-01,16,126,17,159,0,12,934,78,370,10,20,40,25,100,16
2013-02-01,15,109,17,109,0,12,889,89,360,10,20,26,10,84,14
2013-03-01,12,100,17,167,0,12,867,167,300,10,20,52,16,55,8
2013-04-01,8,126,17,234,0,12,800,278,320,10,20,67,8,114,16
2013-05-01,10,75,9,234,0,23,823,145,360,10,30,46,8,104,35
2013-06-01,8,134,25,325,0,23,900,89,510,30,50,37,8,96,60
2013-07-01,8,134,17,367,0,23,1012,123,360,20,30,35,8,110,50
2013-08-01,10,167,17,325,0,23,1112,245,430,20,30,58,8,93,61
2013-09-01,13,134,17,259,0,12,745,200,340,50,40,23,8,91,49
2013-10-01,11,117,17,267,42,12,678,56,300,40,40,40,10,97,72
2013-11-01,15,134,34,300,42,23,678,123,250,20,20,47,11,63,66
2013-12-01,15,126,17,409,59,23,767,189,420,30,20,63,8,76,55
2014-01-01,18,142,9,609,59,23,845,245,430,40,30,38,8,114,75
2014-02-01,25,126,9,325,50,23,723,212,370,20,30,46,14,82,78
2014-03-01,14,142,9,442,42,45,789,145,450,20,30,34,20,94,47
2014-04-01,24,134,9,417,50,23,667,189,450,20,20,49,14,94,66
2014-05-01,16,126,9,642,67,34,634,189,390,100,30,32,8,78,60
2014-06-01,28,117,9,584,59,23,623,300,490,30,60,52,13,126,47
2014-07-01,25,150,9,542,75,23,823,345,580,30,10,31,16,152,69
2014-08-01,15,150,9,400,50,23,867,245,520,20,20,58,20,100,57
2014-09-01,11,159,9,409,75,34,600,156,400,30,20,52,22,69,113
2014-10-01,14,175,25,509,67,23,634,134,370,30,30,49,17,97,93
2014-11-01,21,126,9,550,50,12,589,223,510,40,20,75,22,93,78
2014-12-01,9,134,17,609,59,12,589,278,580,30,20,60,22,126,73
2015-01-01,13,134,9,834,75,34,712,278,670,160,50,60,23,138,72
2015-02-01,19,142,9,501,67,23,523,189,570,90,40,50,32,72,67
2015-03-01,28,150,17,600,59,23,634,134,550,30,20,52,23,75,81
2015-04-01,24,159,9,542,84,12,567,156,640,60,30,43,7,107,69
2015-05-01,16,142,17,459,100,34,612,234,530,30,30,43,13,67,64
2015-06-01,20,150,9,501,75,12,612,356,580,30,20,66,34,108,88
2015-07-01,13,142,9,650,142,23,545,178,870,70,20,55,13,104,90
2015-08-01,19,134,17,684,59,23,612,167,840,40,20,87,26,128,76
2015-09-01,19,159,9,550,59,34,489,234,630,80,40,32,19,137,84
2015-10-01,12,126,9,434,50,23,445,189,680,50,30,54,25,107,41
2015-11-01,22,142,9,459,75,23,412,156,610,50,50,82,28,61,67
2015-12-01,28,184,17,542,59,12,545,145,680,70,40,57,25,60,76
2016-01-01,31,134,17,592,75,23,612,156,810,60,30,54,23,85,72
