date,most secure browser for android,most private browser
2011-01-01,0,21
2011-02-01,0,55
2011-03-01,0,40
2011-04-01,0,40
2011-05-01,0,40
2011-06-01,0,21
2011-07-01,20,27
2011-08-01,23,38
2011-09-01,26,37
2011-10-01,29,71
2011-11-01,33,18
2011-12-01,36,70
2012-01-01,16,59
2012-02-01,16,61
2012-03-01,16,58
2012-04-01,16,49
2012-05-01,16,31
2012-06-01,16,21
2012-07-01,15,42
2012-08-01,15,46
2012-09-01,15,23
2012-10-01,14,47
2012-11-01,13,14
2012-12-01,13,66
2013-01-01,13,43
2013-02-01,14,47
2013-03-01,13,42
2013-04-01,12,47
2013-05-01,12,41
2013-06-01,30,51
2013-07-01,13,80
2013-08-01,13,67
2013-09-01,24,29
2013-10-01,23,50
2013-11-01,12,55
2013-12-01,30,92
2014-01-01,44,55
2014-02-01,18,56
2014-03-01,17,51
2014-04-01,17,41
2014-05-01,11,80
2014-06-01,19,59
2014-07-01,25,66
2014-08-01,16,74
2014-09-01,18,94
2014-10-01,17,63
2014-11-01,17,61
2014-12-01,11,86
2015-01-01,21,70
2015-02-01,11,49
2015-03-01,11,42
2015-04-01,11,82
2015-05-01,21,66
2015-06-01,11,64
2015-07-01,10,77
2015-08-01,16,100
2015-09-01,10,81
2015-10-01,24,68
2015-11-01,13,82
2015-12-01,16,93
2016-01-01,19,60
2016-02-01,19,66
2016-03-01,13,64
2016-04-01,23,67
2016-05-01,9,94
2016-06-01,23,85
2016-07-01,25,83
2016-08-01,18,63
2016-09-01,13,77
2016-10-01,17,79
2016-11-01,17,65
2016-12-01,28,85
2017-01-01,32,97
