date,best private browser android,most private browser
2011-01-01,21,21
2011-02-01,22,55
2011-03-01,20,40
2011-04-01,21,40
2011-05-01,26,40
2011-06-01,20,21
2011-07-01,30,27
2011-08-01,57,38
2011-09-01,19,37
2011-10-01,18,71
2011-11-01,24,18
2011-12-01,47,70
2012-01-01,16,59
2012-02-01,42,61
2012-03-01,42,58
2012-04-01,33,49
2012-05-01,31,31
2012-06-01,32,21
2012-07-01,26,42
2012-08-01,23,46
2012-09-01,41,23
2012-10-01,35,47
2012-11-01,14,14
2012-12-01,52,66
2013-01-01,43,43
2013-02-01,50,47
2013-03-01,33,42
2013-04-01,34,47
2013-05-01,45,41
2013-06-01,38,51
2013-07-01,50,80
2013-08-01,42,67
2013-09-01,24,29
2013-10-01,35,50
2013-11-01,24,55
2013-12-01,12,92
2014-01-01,55,55
2014-02-01,24,56
2014-03-01,33,51
2014-04-01,34,41
2014-05-01,30,80
2014-06-01,59,59
2014-07-01,57,66
2014-08-01,20,74
2014-09-01,63,94
2014-10-01,63,63
2014-11-01,73,61
2014-12-01,26,86
2015-01-01,32,70
2015-02-01,27,49
2015-03-01,35,42
2015-04-01,43,82
2015-05-01,28,66
2015-06-01,39,64
2015-07-01,59,77
2015-08-01,38,100
2015-09-01,44,81
2015-10-01,51,68
2015-11-01,49,82
2015-12-01,57,93
2016-01-01,34,60
2016-02-01,50,66
2016-03-01,55,64
2016-04-01,49,67
2016-05-01,38,94
2016-06-01,64,85
2016-07-01,55,83
2016-08-01,84,63
2016-09-01,59,77
2016-10-01,31,79
2016-11-01,60,65
2016-12-01,62,85
2017-01-01,56,97
