date,anonymous web surfing,most private browser
2011-01-01,100,7
2011-02-01,81,9
2011-03-01,80,5
2011-04-01,75,4
2011-05-01,70,7
2011-06-01,70,6
2011-07-01,74,4
2011-08-01,77,3
2011-09-01,78,4
2011-10-01,67,7
2011-11-01,60,2
2011-12-01,60,7
2012-01-01,63,10
2012-02-01,66,9
2012-03-01,63,11
2012-04-01,57,5
2012-05-01,67,4
2012-06-01,53,3
2012-07-01,56,4
2012-08-01,45,9
2012-09-01,62,6
2012-10-01,50,5
2012-11-01,48,3
2012-12-01,54,10
2013-01-01,48,4
2013-02-01,43,9
2013-03-01,37,5
2013-04-01,41,8
2013-05-01,36,5
2013-06-01,48,10
2013-07-01,35,6
2013-08-01,38,10
2013-09-01,30,8
2013-10-01,41,8
2013-11-01,32,6
2013-12-01,29,7
2014-01-01,26,4
2014-02-01,23,6
2014-03-01,29,7
2014-04-01,27,5
2014-05-01,30,11
2014-06-01,30,7
2014-07-01,38,7
2014-08-01,28,9
2014-09-01,33,13
2014-10-01,25,10
2014-11-01,18,6
2014-12-01,23,9
2015-01-01,23,8
2015-02-01,19,7
2015-03-01,13,10
2015-04-01,16,11
2015-05-01,21,5
2015-06-01,22,7
2015-07-01,16,9
2015-08-01,18,12
2015-09-01,15,8
2015-10-01,21,11
2015-11-01,20,10
2015-12-01,15,10
2016-01-01,21,11
2016-02-01,13,7
2016-03-01,10,11
2016-04-01,11,8
2016-05-01,11,12
2016-06-01,10,8
2016-07-01,20,9
2016-08-01,10,9
2016-09-01,16,12
2016-10-01,8,10
2016-11-01,8,10
2016-12-01,9,8
2017-01-01,7,15
