date,search anonymously,most private browser
2011-01-01,43,13
2011-02-01,56,18
2011-03-01,31,16
2011-04-01,34,10
2011-05-01,29,32
2011-06-01,49,20
2011-07-01,35,0
2011-08-01,33,12
2011-09-01,48,27
2011-10-01,42,14
2011-11-01,20,0
2011-12-01,55,11
2012-01-01,54,10
2012-02-01,48,21
2012-03-01,48,18
2012-04-01,47,0
2012-05-01,27,15
2012-06-01,58,10
2012-07-01,58,13
2012-08-01,25,17
2012-09-01,27,10
2012-10-01,43,11
2012-11-01,45,0
2012-12-01,36,16
2013-01-01,70,12
2013-02-01,57,16
2013-03-01,48,16
2013-04-01,57,14
2013-05-01,38,16
2013-06-01,55,14
2013-07-01,80,18
2013-08-01,67,30
2013-09-01,53,14
2013-10-01,82,24
2013-11-01,55,17
2013-12-01,55,25
2014-01-01,65,14
2014-02-01,73,8
2014-03-01,62,22
2014-04-01,65,18
2014-05-01,67,24
2014-06-01,42,24
2014-07-01,47,26
2014-08-01,65,10
2014-09-01,78,24
2014-10-01,59,23
2014-11-01,70,11
2014-12-01,88,29
2015-01-01,100,17
2015-02-01,80,9
2015-03-01,65,22
2015-04-01,79,26
2015-05-01,58,15
2015-06-01,81,12
2015-07-01,68,20
2015-08-01,69,33
2015-09-01,73,19
2015-10-01,67,24
2015-11-01,82,27
2015-12-01,56,24
2016-01-01,75,28
2016-02-01,58,16
2016-03-01,69,32
2016-04-01,73,23
2016-05-01,59,16
2016-06-01,76,22
2016-07-01,64,22
2016-08-01,50,19
2016-09-01,68,29
2016-10-01,69,24
2016-11-01,59,22
2016-12-01,56,18
2017-01-01,68,28
