date,how to find a proxy,most private browser
2011-01-01,88,7
2011-02-01,69,11
2011-03-01,81,8
2011-04-01,65,7
2011-05-01,69,21
2011-06-01,77,10
2011-07-01,68,4
2011-08-01,86,7
2011-09-01,61,14
2011-10-01,70,7
2011-11-01,62,4
2011-12-01,98,13
2012-01-01,100,11
2012-02-01,94,14
2012-03-01,77,15
2012-04-01,72,20
2012-05-01,57,7
2012-06-01,76,7
2012-07-01,71,6
2012-08-01,77,9
2012-09-01,67,6
2012-10-01,67,11
2012-11-01,54,0
2012-12-01,61,13
2013-01-01,69,9
2013-02-01,59,10
2013-03-01,76,10
2013-04-01,59,12
2013-05-01,60,9
2013-06-01,59,10
2013-07-01,70,11
2013-08-01,65,15
2013-09-01,70,10
2013-10-01,73,12
2013-11-01,59,9
2013-12-01,68,15
2014-01-01,67,8
2014-02-01,72,6
2014-03-01,74,13
2014-04-01,68,10
2014-05-01,68,14
2014-06-01,74,14
2014-07-01,66,12
2014-08-01,63,8
2014-09-01,77,20
2014-10-01,81,15
2014-11-01,92,9
2014-12-01,61,18
2015-01-01,78,12
2015-02-01,71,6
2015-03-01,64,11
2015-04-01,68,14
2015-05-01,56,12
2015-06-01,62,9
2015-07-01,62,11
2015-08-01,60,21
2015-09-01,72,10
2015-10-01,67,14
2015-11-01,43,15
2015-12-01,60,16
2016-01-01,54,19
2016-02-01,54,11
2016-03-01,52,17
2016-04-01,52,14
2016-05-01,52,12
2016-06-01,58,12
2016-07-01,67,13
2016-08-01,59,12
2016-09-01,55,18
2016-10-01,77,16
2016-11-01,55,15
2016-12-01,54,12
2017-01-01,58,16
