date,how to turn off cookies,most private browser
2011-01-01,33,11
2011-02-01,48,14
2011-03-01,33,7
2011-04-01,29,6
2011-05-01,36,11
2011-06-01,55,9
2011-07-01,29,7
2011-08-01,40,4
2011-09-01,36,7
2011-10-01,46,11
2011-11-01,50,4
2011-12-01,43,11
2012-01-01,45,15
2012-02-01,41,14
2012-03-01,45,17
2012-04-01,31,7
2012-05-01,63,6
2012-06-01,39,5
2012-07-01,45,7
2012-08-01,60,15
2012-09-01,56,9
2012-10-01,51,8
2012-11-01,47,5
2012-12-01,71,15
2013-01-01,70,6
2013-02-01,76,13
2013-03-01,62,8
2013-04-01,55,12
2013-05-01,71,8
2013-06-01,61,16
2013-07-01,63,10
2013-08-01,75,16
2013-09-01,86,12
2013-10-01,78,12
2013-11-01,68,9
2013-12-01,74,10
2014-01-01,83,6
2014-02-01,76,10
2014-03-01,77,11
2014-04-01,82,7
2014-05-01,74,17
2014-06-01,84,11
2014-07-01,71,11
2014-08-01,100,13
2014-09-01,73,20
2014-10-01,79,16
2014-11-01,75,9
2014-12-01,79,15
2015-01-01,86,13
2015-02-01,78,12
2015-03-01,92,16
2015-04-01,85,18
2015-05-01,84,8
2015-06-01,72,11
2015-07-01,69,14
2015-08-01,100,19
2015-09-01,96,12
2015-10-01,82,17
2015-11-01,77,16
2015-12-01,97,16
2016-01-01,98,18
2016-02-01,78,10
2016-03-01,75,17
2016-04-01,75,12
2016-05-01,78,19
2016-06-01,73,13
2016-07-01,73,15
2016-08-01,93,14
2016-09-01,77,19
2016-10-01,78,15
2016-11-01,82,15
2016-12-01,75,13
2017-01-01,77,23
