date,easy hide ip,most private browser
2011-01-01,77,0
2011-02-01,72,1
2011-03-01,71,1
2011-04-01,74,1
2011-05-01,75,1
2011-06-01,81,0
2011-07-01,87,0
2011-08-01,80,1
2011-09-01,73,1
2011-10-01,66,1
2011-11-01,64,0
2011-12-01,70,1
2012-01-01,65,1
2012-02-01,67,1
2012-03-01,73,1
2012-04-01,82,1
2012-05-01,63,0
2012-06-01,77,0
2012-07-01,69,1
2012-08-01,74,1
2012-09-01,74,0
2012-10-01,66,1
2012-11-01,61,0
2012-12-01,100,1
2013-01-01,69,1
2013-02-01,63,1
2013-03-01,52,1
2013-04-01,51,1
2013-05-01,48,1
2013-06-01,41,1
2013-07-01,44,2
2013-08-01,48,2
2013-09-01,43,1
2013-10-01,39,1
2013-11-01,40,1
2013-12-01,34,2
2014-01-01,40,1
2014-02-01,38,1
2014-03-01,35,1
2014-04-01,35,1
2014-05-01,29,2
2014-06-01,30,1
2014-07-01,30,1
2014-08-01,25,1
2014-09-01,30,2
2014-10-01,26,1
2014-11-01,24,1
2014-12-01,24,2
2015-01-01,23,1
2015-02-01,21,1
2015-03-01,21,1
2015-04-01,21,2
2015-05-01,19,1
2015-06-01,14,1
2015-07-01,17,2
2015-08-01,15,2
2015-09-01,17,2
2015-10-01,15,2
2015-11-01,15,2
2015-12-01,17,2
2016-01-01,14,1
2016-02-01,17,1
2016-03-01,14,2
2016-04-01,11,1
2016-05-01,13,2
2016-06-01,10,2
2016-07-01,11,2
2016-08-01,14,1
2016-09-01,12,2
2016-10-01,10,2
2016-11-01,10,1
2016-12-01,9,2
2017-01-01,9,2
