date,incognito browsing,most private browser
2011-01-01,28,3
2011-02-01,30,5
2011-03-01,26,2
2011-04-01,30,2
2011-05-01,30,3
2011-06-01,33,3
2011-07-01,43,2
2011-08-01,35,1
2011-09-01,36,2
2011-10-01,40,4
2011-11-01,38,1
2011-12-01,42,4
2012-01-01,43,5
2012-02-01,42,5
2012-03-01,47,5
2012-04-01,45,2
2012-05-01,47,2
2012-06-01,39,1
2012-07-01,57,2
2012-08-01,46,5
2012-09-01,52,3
2012-10-01,47,3
2012-11-01,60,1
2012-12-01,60,5
2013-01-01,62,2
2013-02-01,57,4
2013-03-01,65,3
2013-04-01,78,4
2013-05-01,60,3
2013-06-01,73,5
2013-07-01,65,3
2013-08-01,69,5
2013-09-01,72,4
2013-10-01,74,4
2013-11-01,72,3
2013-12-01,78,3
2014-01-01,79,2
2014-02-01,70,3
2014-03-01,81,3
2014-04-01,78,2
2014-05-01,78,5
2014-06-01,82,3
2014-07-01,93,4
2014-08-01,91,4
2014-09-01,92,6
2014-10-01,84,5
2014-11-01,87,3
2014-12-01,91,5
2015-01-01,100,4
2015-02-01,99,4
2015-03-01,76,5
2015-04-01,92,6
2015-05-01,82,3
2015-06-01,87,4
2015-07-01,90,5
2015-08-01,88,6
2015-09-01,90,4
2015-10-01,93,5
2015-11-01,92,5
2015-12-01,89,5
2016-01-01,93,6
2016-02-01,83,3
2016-03-01,91,5
2016-04-01,91,4
2016-05-01,80,6
2016-06-01,84,4
2016-07-01,86,5
2016-08-01,79,5
2016-09-01,84,6
2016-10-01,82,5
2016-11-01,93,5
2016-12-01,87,4
2017-01-01,77,7
