date,how to private search,most private browser
2011-01-01,48,3
2011-02-01,50,5
2011-03-01,44,2
2011-04-01,55,2
2011-05-01,40,4
2011-06-01,45,4
2011-07-01,54,3
2011-08-01,49,2
2011-09-01,63,2
2011-10-01,44,3
2011-11-01,46,1
2011-12-01,46,7
2012-01-01,37,7
2012-02-01,47,5
2012-03-01,48,6
2012-04-01,48,3
2012-05-01,43,1
2012-06-01,49,1
2012-07-01,59,2
2012-08-01,56,6
2012-09-01,47,4
2012-10-01,62,3
2012-11-01,54,1
2012-12-01,59,8
2013-01-01,57,3
2013-02-01,73,5
2013-03-01,61,3
2013-04-01,53,5
2013-05-01,50,4
2013-06-01,64,5
2013-07-01,68,4
2013-08-01,74,6
2013-09-01,75,3
2013-10-01,72,3
2013-11-01,67,4
2013-12-01,51,5
2014-01-01,74,2
2014-02-01,66,5
2014-03-01,73,4
2014-04-01,75,3
2014-05-01,74,5
2014-06-01,70,4
2014-07-01,73,3
2014-08-01,71,5
2014-09-01,73,8
2014-10-01,78,6
2014-11-01,78,4
2014-12-01,85,4
2015-01-01,77,5
2015-02-01,80,4
2015-03-01,69,6
2015-04-01,72,6
2015-05-01,77,2
2015-06-01,80,4
2015-07-01,84,5
2015-08-01,89,8
2015-09-01,68,4
2015-10-01,80,7
2015-11-01,74,4
2015-12-01,66,7
2016-01-01,86,9
2016-02-01,89,4
2016-03-01,88,7
2016-04-01,88,3
2016-05-01,85,6
2016-06-01,93,4
2016-07-01,80,5
2016-08-01,92,5
2016-09-01,80,6
2016-10-01,88,5
2016-11-01,86,6
2016-12-01,86,5
2017-01-01,100,8
