date,twitter download
2011-01-01,61
2011-02-01,69
2011-03-01,64
2011-04-01,68
2011-05-01,73
2011-06-01,76
2011-07-01,82
2011-08-01,87
2011-09-01,93
2011-10-01,89
2011-11-01,93
2011-12-01,97
2012-01-01,93
2012-02-01,93
2012-03-01,93
2012-04-01,92
2012-05-01,91
2012-06-01,91
2012-07-01,95
2012-08-01,95
2012-09-01,92
2012-10-01,91
2012-11-01,92
2012-12-01,100
2013-01-01,90
2013-02-01,90
2013-03-01,90
2013-04-01,91
2013-05-01,93
2013-06-01,95
2013-07-01,93
2013-08-01,93
2013-09-01,90
2013-10-01,88
2013-11-01,85
2013-12-01,85
2014-01-01,83
2014-02-01,75
2014-03-01,78
2014-04-01,75
2014-05-01,74
2014-06-01,73
2014-07-01,71
2014-08-01,71
2014-09-01,69
2014-10-01,67
2014-11-01,65
2014-12-01,65
2015-01-01,60
2015-02-01,57
2015-03-01,58
2015-04-01,58
2015-05-01,55
2015-06-01,54
2015-07-01,56
2015-08-01,53
2015-09-01,51
2015-10-01,50
2015-11-01,46
2015-12-01,47
2016-01-01,47
2016-02-01,46
2016-03-01,46
2016-04-01,46
2016-05-01,45
2016-06-01,46
2016-07-01,50
2016-08-01,48
2016-09-01,47
2016-10-01,46
2016-11-01,46
2016-12-01,47
2017-01-01,47
