date,Deleting twitter
2011-01-01,34
2011-02-01,35
2011-03-01,33
2011-04-01,47
2011-05-01,45
2011-06-01,49
2011-07-01,59
2011-08-01,49
2011-09-01,47
2011-10-01,67
2011-11-01,59
2011-12-01,50
2012-01-01,62
2012-02-01,67
2012-03-01,58
2012-04-01,64
2012-05-01,72
2012-06-01,53
2012-07-01,70
2012-08-01,85
2012-09-01,80
2012-10-01,70
2012-11-01,83
2012-12-01,79
2013-01-01,96
2013-02-01,84
2013-03-01,63
2013-04-01,69
2013-05-01,87
2013-06-01,76
2013-07-01,86
2013-08-01,89
2013-09-01,74
2013-10-01,78
2013-11-01,71
2013-12-01,62
2014-01-01,94
2014-02-01,79
2014-03-01,85
2014-04-01,76
2014-05-01,73
2014-06-01,67
2014-07-01,83
2014-08-01,83
2014-09-01,85
2014-10-01,77
2014-11-01,80
2014-12-01,77
2015-01-01,82
2015-02-01,75
2015-03-01,74
2015-04-01,72
2015-05-01,80
2015-06-01,77
2015-07-01,100
2015-08-01,71
2015-09-01,79
2015-10-01,72
2015-11-01,72
2015-12-01,71
2016-01-01,78
2016-02-01,66
2016-03-01,70
2016-04-01,67
2016-05-01,63
2016-06-01,67
2016-07-01,84
2016-08-01,72
2016-09-01,81
2016-10-01,68
2016-11-01,78
2016-12-01,71
2017-01-01,95
