date,how to deactivate twitter on mobile
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,9
2011-05-01,9
2011-06-01,9
2011-07-01,8
2011-08-01,12
2011-09-01,8
2011-10-01,7
2011-11-01,7
2011-12-01,7
2012-01-01,7
2012-02-01,14
2012-03-01,7
2012-04-01,27
2012-05-01,15
2012-06-01,13
2012-07-01,22
2012-08-01,10
2012-09-01,17
2012-10-01,25
2012-11-01,27
2012-12-01,47
2013-01-01,39
2013-02-01,37
2013-03-01,33
2013-04-01,32
2013-05-01,40
2013-06-01,35
2013-07-01,55
2013-08-01,45
2013-09-01,27
2013-10-01,27
2013-11-01,26
2013-12-01,26
2014-01-01,53
2014-02-01,37
2014-03-01,36
2014-04-01,37
2014-05-01,64
2014-06-01,52
2014-07-01,54
2014-08-01,41
2014-09-01,55
2014-10-01,46
2014-11-01,69
2014-12-01,72
2015-01-01,91
2015-02-01,55
2015-03-01,49
2015-04-01,78
2015-05-01,87
2015-06-01,60
2015-07-01,63
2015-08-01,77
2015-09-01,85
2015-10-01,53
2015-11-01,77
2015-12-01,62
2016-01-01,61
2016-02-01,50
2016-03-01,59
2016-04-01,43
2016-05-01,52
2016-06-01,53
2016-07-01,100
2016-08-01,70
2016-09-01,45
2016-10-01,40
2016-11-01,35
2016-12-01,63
2017-01-01,48
