date,what is a twitter feed
2011-01-01,58
2011-02-01,41
2011-03-01,55
2011-04-01,52
2011-05-01,55
2011-06-01,76
2011-07-01,80
2011-08-01,65
2011-09-01,69
2011-10-01,43
2011-11-01,55
2011-12-01,32
2012-01-01,69
2012-02-01,52
2012-03-01,53
2012-04-01,46
2012-05-01,66
2012-06-01,64
2012-07-01,87
2012-08-01,67
2012-09-01,81
2012-10-01,96
2012-11-01,91
2012-12-01,35
2013-01-01,55
2013-02-01,83
2013-03-01,66
2013-04-01,83
2013-05-01,62
2013-06-01,59
2013-07-01,66
2013-08-01,73
2013-09-01,57
2013-10-01,43
2013-11-01,47
2013-12-01,33
2014-01-01,82
2014-02-01,56
2014-03-01,100
2014-04-01,76
2014-05-01,81
2014-06-01,70
2014-07-01,38
2014-08-01,57
2014-09-01,83
2014-10-01,59
2014-11-01,49
2014-12-01,56
2015-01-01,49
2015-02-01,32
2015-03-01,64
2015-04-01,46
2015-05-01,35
2015-06-01,59
2015-07-01,35
2015-08-01,35
2015-09-01,34
2015-10-01,24
2015-11-01,45
2015-12-01,49
2016-01-01,49
2016-02-01,52
2016-03-01,41
2016-04-01,36
2016-05-01,35
2016-06-01,59
2016-07-01,48
2016-08-01,47
2016-09-01,52
2016-10-01,62
2016-11-01,37
2016-12-01,37
2017-01-01,54
