date,how to delete a twitter account
2011-01-01,10
2011-02-01,13
2011-03-01,15
2011-04-01,12
2011-05-01,18
2011-06-01,23
2011-07-01,27
2011-08-01,28
2011-09-01,25
2011-10-01,31
2011-11-01,41
2011-12-01,36
2012-01-01,49
2012-02-01,43
2012-03-01,44
2012-04-01,45
2012-05-01,41
2012-06-01,57
2012-07-01,58
2012-08-01,70
2012-09-01,62
2012-10-01,59
2012-11-01,59
2012-12-01,68
2013-01-01,78
2013-02-01,82
2013-03-01,58
2013-04-01,49
2013-05-01,58
2013-06-01,70
2013-07-01,63
2013-08-01,61
2013-09-01,60
2013-10-01,61
2013-11-01,49
2013-12-01,63
2014-01-01,77
2014-02-01,81
2014-03-01,66
2014-04-01,65
2014-05-01,66
2014-06-01,73
2014-07-01,83
2014-08-01,75
2014-09-01,70
2014-10-01,71
2014-11-01,70
2014-12-01,76
2015-01-01,91
2015-02-01,75
2015-03-01,65
2015-04-01,70
2015-05-01,73
2015-06-01,100
2015-07-01,78
2015-08-01,70
2015-09-01,70
2015-10-01,77
2015-11-01,80
2015-12-01,74
2016-01-01,74
2016-02-01,56
2016-03-01,68
2016-04-01,75
2016-05-01,70
2016-06-01,68
2016-07-01,78
2016-08-01,72
2016-09-01,69
2016-10-01,64
2016-11-01,63
2016-12-01,63
2017-01-01,85
