date,deactivate twitter account
2011-01-01,7
2011-02-01,7
2011-03-01,7
2011-04-01,9
2011-05-01,10
2011-06-01,9
2011-07-01,13
2011-08-01,14
2011-09-01,14
2011-10-01,14
2011-11-01,16
2011-12-01,16
2012-01-01,17
2012-02-01,19
2012-03-01,18
2012-04-01,25
2012-05-01,26
2012-06-01,34
2012-07-01,26
2012-08-01,32
2012-09-01,34
2012-10-01,39
2012-11-01,34
2012-12-01,46
2013-01-01,53
2013-02-01,48
2013-03-01,44
2013-04-01,47
2013-05-01,43
2013-06-01,44
2013-07-01,59
2013-08-01,59
2013-09-01,43
2013-10-01,41
2013-11-01,47
2013-12-01,52
2014-01-01,56
2014-02-01,47
2014-03-01,49
2014-04-01,57
2014-05-01,62
2014-06-01,51
2014-07-01,54
2014-08-01,66
2014-09-01,62
2014-10-01,57
2014-11-01,47
2014-12-01,57
2015-01-01,70
2015-02-01,66
2015-03-01,70
2015-04-01,65
2015-05-01,55
2015-06-01,64
2015-07-01,85
2015-08-01,72
2015-09-01,55
2015-10-01,56
2015-11-01,71
2015-12-01,73
2016-01-01,70
2016-02-01,50
2016-03-01,52
2016-04-01,68
2016-05-01,90
2016-06-01,72
2016-07-01,70
2016-08-01,67
2016-09-01,88
2016-10-01,73
2016-11-01,57
2016-12-01,56
2017-01-01,100
