date,create twitter account with same email
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,34
2011-06-01,32
2011-07-01,32
2011-08-01,32
2011-09-01,32
2011-10-01,30
2011-11-01,31
2011-12-01,27
2012-01-01,27
2012-02-01,27
2012-03-01,27
2012-04-01,42
2012-05-01,52
2012-06-01,54
2012-07-01,53
2012-08-01,53
2012-09-01,35
2012-10-01,36
2012-11-01,48
2012-12-01,57
2013-01-01,58
2013-02-01,61
2013-03-01,71
2013-04-01,94
2013-05-01,50
2013-06-01,88
2013-07-01,57
2013-08-01,57
2013-09-01,70
2013-10-01,60
2013-11-01,20
2013-12-01,40
2014-01-01,50
2014-02-01,69
2014-03-01,37
2014-04-01,48
2014-05-01,58
2014-06-01,29
2014-07-01,97
2014-08-01,42
2014-09-01,60
2014-10-01,45
2014-11-01,52
2014-12-01,58
2015-01-01,54
2015-02-01,32
2015-03-01,47
2015-04-01,73
2015-05-01,71
2015-06-01,24
2015-07-01,77
2015-08-01,100
2015-09-01,75
2015-10-01,49
2015-11-01,50
2015-12-01,40
2016-01-01,24
2016-02-01,32
2016-03-01,50
2016-04-01,67
2016-05-01,50
2016-06-01,47
2016-07-01,78
2016-08-01,66
2016-09-01,51
2016-10-01,48
2016-11-01,49
2016-12-01,49
2017-01-01,23
