date,twitter search
2011-01-01,39
2011-02-01,43
2011-03-01,44
2011-04-01,42
2011-05-01,50
2011-06-01,47
2011-07-01,52
2011-08-01,52
2011-09-01,78
2011-10-01,84
2011-11-01,89
2011-12-01,89
2012-01-01,92
2012-02-01,90
2012-03-01,88
2012-04-01,87
2012-05-01,89
2012-06-01,95
2012-07-01,99
2012-08-01,100
2012-09-01,92
2012-10-01,84
2012-11-01,84
2012-12-01,87
2013-01-01,85
2013-02-01,84
2013-03-01,83
2013-04-01,81
2013-05-01,78
2013-06-01,89
2013-07-01,87
2013-08-01,90
2013-09-01,89
2013-10-01,87
2013-11-01,89
2013-12-01,92
2014-01-01,95
2014-02-01,95
2014-03-01,98
2014-04-01,93
2014-05-01,93
2014-06-01,94
2014-07-01,92
2014-08-01,100
2014-09-01,94
2014-10-01,85
2014-11-01,83
2014-12-01,83
2015-01-01,85
2015-02-01,85
2015-03-01,81
2015-04-01,80
2015-05-01,77
2015-06-01,73
2015-07-01,73
2015-08-01,74
2015-09-01,68
2015-10-01,65
2015-11-01,70
2015-12-01,70
2016-01-01,71
2016-02-01,65
2016-03-01,63
2016-04-01,65
2016-05-01,63
2016-06-01,63
2016-07-01,65
2016-08-01,60
2016-09-01,58
2016-10-01,55
2016-11-01,53
2016-12-01,52
2017-01-01,53
