date,tweet eraser
2011-01-01,25
2011-02-01,9
2011-03-01,12
2011-04-01,17
2011-05-01,27
2011-06-01,25
2011-07-01,32
2011-08-01,26
2011-09-01,45
2011-10-01,45
2011-11-01,45
2011-12-01,54
2012-01-01,41
2012-02-01,56
2012-03-01,70
2012-04-01,84
2012-05-01,94
2012-06-01,91
2012-07-01,100
2012-08-01,81
2012-09-01,83
2012-10-01,90
2012-11-01,98
2012-12-01,82
2013-01-01,94
2013-02-01,89
2013-03-01,65
2013-04-01,95
2013-05-01,70
2013-06-01,81
2013-07-01,82
2013-08-01,99
2013-09-01,87
2013-10-01,61
2013-11-01,76
2013-12-01,54
2014-01-01,81
2014-02-01,84
2014-03-01,87
2014-04-01,71
2014-05-01,71
2014-06-01,55
2014-07-01,82
2014-08-01,77
2014-09-01,55
2014-10-01,54
2014-11-01,37
2014-12-01,51
2015-01-01,82
2015-02-01,37
2015-03-01,44
2015-04-01,48
2015-05-01,53
2015-06-01,48
2015-07-01,35
2015-08-01,58
2015-09-01,57
2015-10-01,59
2015-11-01,51
2015-12-01,48
2016-01-01,44
2016-02-01,54
2016-03-01,49
2016-04-01,52
2016-05-01,66
2016-06-01,56
2016-07-01,61
2016-08-01,66
2016-09-01,57
2016-10-01,50
2016-11-01,42
2016-12-01,49
2017-01-01,68
