date,create twitter account mobile
2011-01-01,44
2011-02-01,17
2011-03-01,31
2011-04-01,34
2011-05-01,32
2011-06-01,43
2011-07-01,16
2011-08-01,30
2011-09-01,44
2011-10-01,37
2011-11-01,49
2011-12-01,18
2012-01-01,32
2012-02-01,40
2012-03-01,37
2012-04-01,48
2012-05-01,40
2012-06-01,38
2012-07-01,25
2012-08-01,37
2012-09-01,16
2012-10-01,26
2012-11-01,33
2012-12-01,22
2013-01-01,30
2013-02-01,34
2013-03-01,20
2013-04-01,24
2013-05-01,40
2013-06-01,41
2013-07-01,43
2013-08-01,53
2013-09-01,52
2013-10-01,40
2013-11-01,37
2013-12-01,38
2014-01-01,65
2014-02-01,45
2014-03-01,34
2014-04-01,42
2014-05-01,39
2014-06-01,37
2014-07-01,52
2014-08-01,49
2014-09-01,53
2014-10-01,50
2014-11-01,39
2014-12-01,39
2015-01-01,45
2015-02-01,66
2015-03-01,44
2015-04-01,53
2015-05-01,41
2015-06-01,47
2015-07-01,47
2015-08-01,49
2015-09-01,51
2015-10-01,56
2015-11-01,31
2015-12-01,42
2016-01-01,40
2016-02-01,42
2016-03-01,49
2016-04-01,62
2016-05-01,35
2016-06-01,50
2016-07-01,53
2016-08-01,64
2016-09-01,85
2016-10-01,100
2016-11-01,97
2016-12-01,63
2017-01-01,100
