date,facebook follow button
2011-01-01,51
2011-02-01,53
2011-03-01,45
2011-04-01,40
2011-05-01,52
2011-06-01,73
2011-07-01,71
2011-08-01,86
2011-09-01,71
2011-10-01,65
2011-11-01,60
2011-12-01,52
2012-01-01,62
2012-02-01,66
2012-03-01,65
2012-04-01,58
2012-05-01,57
2012-06-01,57
2012-07-01,57
2012-08-01,61
2012-09-01,47
2012-10-01,52
2012-11-01,47
2012-12-01,38
2013-01-01,79
2013-02-01,95
2013-03-01,100
2013-04-01,99
2013-05-01,94
2013-06-01,87
2013-07-01,86
2013-08-01,93
2013-09-01,76
2013-10-01,76
2013-11-01,88
2013-12-01,89
2014-01-01,94
2014-02-01,90
2014-03-01,71
2014-04-01,63
2014-05-01,58
2014-06-01,57
2014-07-01,61
2014-08-01,57
2014-09-01,51
2014-10-01,45
2014-11-01,43
2014-12-01,39
2015-01-01,42
2015-02-01,43
2015-03-01,45
2015-04-01,41
2015-05-01,39
2015-06-01,41
2015-07-01,39
2015-08-01,33
2015-09-01,32
2015-10-01,31
2015-11-01,26
2015-12-01,27
2016-01-01,35
2016-02-01,34
2016-03-01,27
2016-04-01,33
2016-05-01,33
2016-06-01,32
2016-07-01,29
2016-08-01,26
2016-09-01,27
2016-10-01,32
2016-11-01,27
2016-12-01,28
2017-01-01,33
