date,privacy settings for instagram,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,8
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,7,7
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,13,13
2012-05-01,6,15
2012-06-01,13,13
2012-07-01,19,6
2012-08-01,6,16
2012-09-01,63,100
2012-10-01,48,94
2012-11-01,26,65
2012-12-01,40,68
2013-01-01,31,55
2013-02-01,11,32
2013-03-01,20,68
2013-04-01,18,34
2013-05-01,13,48
2013-06-01,18,28
2013-07-01,13,51
2013-08-01,13,43
2013-09-01,10,47
2013-10-01,21,21
2013-11-01,28,24
2013-12-01,14,43
2014-01-01,9,38
2014-02-01,17,24
2014-03-01,20,28
2014-04-01,9,34
2014-05-01,16,35
2014-06-01,8,41
2014-07-01,17,47
2014-08-01,5,25
2014-09-01,7,19
2014-10-01,16,50
2014-11-01,16,37
2014-12-01,9,32
2015-01-01,17,34
2015-02-01,14,23
2015-03-01,15,25
2015-04-01,4,13
2015-05-01,8,8
2015-06-01,15,13
2015-07-01,19,23
2015-08-01,15,12
2015-09-01,10,16
2015-10-01,8,12
2015-11-01,16,20
2015-12-01,8,14
2016-01-01,12,23
2016-02-01,4,13
2016-03-01,7,5
2016-04-01,17,17
2016-05-01,9,14
2016-06-01,9,13
2016-07-01,9,22
2016-08-01,7,18
2016-09-01,5,14
2016-10-01,7,15
2016-11-01,7,5
2016-12-01,7,14
2017-01-01,10,16
