date,how to unfollow someone on instagram without them knowing,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,7
2012-02-01,0,10
2012-03-01,0,14
2012-04-01,0,15
2012-05-01,0,17
2012-06-01,0,10
2012-07-01,0,12
2012-08-01,7,13
2012-09-01,8,100
2012-10-01,10,88
2012-11-01,12,55
2012-12-01,12,64
2013-01-01,12,78
2013-02-01,12,40
2013-03-01,14,57
2013-04-01,11,22
2013-05-01,14,54
2013-06-01,11,69
2013-07-01,5,60
2013-08-01,8,59
2013-09-01,11,45
2013-10-01,5,43
2013-11-01,15,20
2013-12-01,23,48
2014-01-01,10,57
2014-02-01,16,21
2014-03-01,16,37
2014-04-01,10,46
2014-05-01,5,29
2014-06-01,5,49
2014-07-01,16,53
2014-08-01,8,45
2014-09-01,5,25
2014-10-01,5,34
2014-11-01,10,20
2014-12-01,10,29
2015-01-01,5,30
2015-02-01,5,17
2015-03-01,4,25
2015-04-01,5,30
2015-05-01,7,11
2015-06-01,9,27
2015-07-01,5,36
2015-08-01,18,4
2015-09-01,4,17
2015-10-01,4,12
2015-11-01,8,11
2015-12-01,4,19
2016-01-01,4,14
2016-02-01,10,8
2016-03-01,6,4
2016-04-01,8,14
2016-05-01,4,11
2016-06-01,6,10
2016-07-01,4,22
2016-08-01,4,17
2016-09-01,15,15
2016-10-01,11,15
2016-11-01,6,11
2016-12-01,7,13
2017-01-01,10,14
