date,how to view someones private instagram photos,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,7,0
2011-11-01,6,0
2011-12-01,6,0
2012-01-01,6,6
2012-02-01,6,9
2012-03-01,6,13
2012-04-01,13,14
2012-05-01,6,15
2012-06-01,6,10
2012-07-01,17,13
2012-08-01,10,16
2012-09-01,12,100
2012-10-01,8,90
2012-11-01,14,52
2012-12-01,9,58
2013-01-01,10,73
2013-02-01,21,38
2013-03-01,15,50
2013-04-01,15,27
2013-05-01,13,43
2013-06-01,15,56
2013-07-01,13,54
2013-08-01,18,51
2013-09-01,23,41
2013-10-01,19,31
2013-11-01,22,24
2013-12-01,22,42
2014-01-01,19,44
2014-02-01,14,27
2014-03-01,10,33
2014-04-01,21,34
2014-05-01,14,27
2014-06-01,20,40
2014-07-01,23,50
2014-08-01,15,39
2014-09-01,9,30
2014-10-01,19,28
2014-11-01,17,18
2014-12-01,9,25
2015-01-01,17,30
2015-02-01,9,15
2015-03-01,24,18
2015-04-01,17,20
2015-05-01,12,12
2015-06-01,8,18
2015-07-01,15,28
2015-08-01,10,5
2015-09-01,12,15
2015-10-01,19,15
2015-11-01,14,10
2015-12-01,19,19
2016-01-01,15,13
2016-02-01,16,9
2016-03-01,10,10
2016-04-01,16,12
2016-05-01,22,11
2016-06-01,8,12
2016-07-01,15,21
2016-08-01,16,16
2016-09-01,17,15
2016-10-01,21,16
2016-11-01,25,14
2016-12-01,20,12
2017-01-01,18,14
