date,Instagram privacy settings,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,1,0
2011-07-01,0,0
2011-08-01,1,0
2011-09-01,2,0
2011-10-01,1,0
2011-11-01,2,0
2011-12-01,2,0
2012-01-01,1,1
2012-02-01,1,0
2012-03-01,7,1
2012-04-01,6,1
2012-05-01,10,4
2012-06-01,7,2
2012-07-01,7,1
2012-08-01,10,2
2012-09-01,100,14
2012-10-01,95,12
2012-11-01,72,7
2012-12-01,94,10
2013-01-01,49,6
2013-02-01,35,5
2013-03-01,36,7
2013-04-01,33,5
2013-05-01,34,5
2013-06-01,34,7
2013-07-01,33,6
2013-08-01,32,7
2013-09-01,30,6
2013-10-01,18,5
2013-11-01,20,4
2013-12-01,22,7
2014-01-01,26,5
2014-02-01,22,6
2014-03-01,24,6
2014-04-01,21,4
2014-05-01,27,5
2014-06-01,22,6
2014-07-01,23,6
2014-08-01,21,4
2014-09-01,28,4
2014-10-01,24,6
2014-11-01,21,3
2014-12-01,17,4
2015-01-01,22,3
2015-02-01,19,3
2015-03-01,15,3
2015-04-01,15,4
2015-05-01,14,2
2015-06-01,14,2
2015-07-01,15,3
2015-08-01,12,2
2015-09-01,13,2
2015-10-01,14,2
2015-11-01,13,3
2015-12-01,13,2
2016-01-01,13,2
2016-02-01,12,3
2016-03-01,11,2
2016-04-01,12,1
2016-05-01,13,2
2016-06-01,10,2
2016-07-01,11,3
2016-08-01,14,3
2016-09-01,14,2
2016-10-01,14,2
2016-11-01,15,2
2016-12-01,16,2
2017-01-01,14,2
