date,Set instagram to private,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,5,0
2011-09-01,5,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,15,0
2012-01-01,9,5
2012-02-01,7,0
2012-03-01,9,4
2012-04-01,19,5
2012-05-01,16,22
2012-06-01,21,9
2012-07-01,18,4
2012-08-01,26,12
2012-09-01,41,68
2012-10-01,26,59
2012-11-01,28,36
2012-12-01,53,50
2013-01-01,33,29
2013-02-01,37,24
2013-03-01,31,35
2013-04-01,23,23
2013-05-01,50,26
2013-06-01,39,33
2013-07-01,52,31
2013-08-01,53,34
2013-09-01,67,28
2013-10-01,66,24
2013-11-01,68,18
2013-12-01,69,34
2014-01-01,90,26
2014-02-01,67,27
2014-03-01,73,27
2014-04-01,85,20
2014-05-01,83,25
2014-06-01,88,27
2014-07-01,71,30
2014-08-01,100,20
2014-09-01,84,20
2014-10-01,85,32
2014-11-01,79,16
2014-12-01,94,18
2015-01-01,72,17
2015-02-01,70,13
2015-03-01,42,15
2015-04-01,43,17
2015-05-01,51,8
2015-06-01,50,9
2015-07-01,66,17
2015-08-01,47,8
2015-09-01,48,10
2015-10-01,41,12
2015-11-01,57,15
2015-12-01,52,9
2016-01-01,42,11
2016-02-01,33,13
2016-03-01,44,7
2016-04-01,44,5
2016-05-01,55,9
2016-06-01,64,10
2016-07-01,57,16
2016-08-01,64,13
2016-09-01,54,12
2016-10-01,45,10
2016-11-01,47,9
2016-12-01,49,10
2017-01-01,54,12
