date,instagram privacy settings,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,1,0
2011-05-01,0,1
2011-06-01,1,0
2011-07-01,0,0
2011-08-01,2,0
2011-09-01,1,0
2011-10-01,1,0
2011-11-01,1,0
2011-12-01,0,0
2012-01-01,1,1
2012-02-01,1,0
2012-03-01,4,0
2012-04-01,7,2
2012-05-01,8,2
2012-06-01,6,2
2012-07-01,7,2
2012-08-01,10,2
2012-09-01,100,14
2012-10-01,92,14
2012-11-01,70,9
2012-12-01,97,10
2013-01-01,54,9
2013-02-01,34,5
2013-03-01,39,9
2013-04-01,33,5
2013-05-01,34,5
2013-06-01,41,4
2013-07-01,37,8
2013-08-01,35,6
2013-09-01,30,6
2013-10-01,22,3
2013-11-01,17,4
2013-12-01,23,5
2014-01-01,25,5
2014-02-01,25,5
2014-03-01,24,4
2014-04-01,18,5
2014-05-01,24,5
2014-06-01,24,5
2014-07-01,26,6
2014-08-01,19,4
2014-09-01,25,3
2014-10-01,24,7
2014-11-01,21,6
2014-12-01,21,4
2015-01-01,19,5
2015-02-01,19,3
2015-03-01,17,3
2015-04-01,14,3
2015-05-01,13,2
2015-06-01,15,1
2015-07-01,15,3
2015-08-01,12,2
2015-09-01,12,2
2015-10-01,13,2
2015-11-01,13,2
2015-12-01,12,2
2016-01-01,15,3
2016-02-01,12,2
2016-03-01,11,1
2016-04-01,14,2
2016-05-01,11,2
2016-06-01,10,2
2016-07-01,11,3
2016-08-01,14,3
2016-09-01,15,2
2016-10-01,15,2
2016-11-01,16,2
2016-12-01,17,2
2017-01-01,17,3
