date,how to change facebook privacy settings ,how to change instagram privacy settings
2011-01-01,17,0
2011-02-01,20,0
2011-03-01,20,0
2011-04-01,10,0
2011-05-01,9,0
2011-06-01,26,0
2011-07-01,11,0
2011-08-01,22,0
2011-09-01,71,0
2011-10-01,46,0
2011-11-01,60,0
2011-12-01,49,0
2012-01-01,44,1
2012-02-01,48,0
2012-03-01,45,1
2012-04-01,37,2
2012-05-01,44,7
2012-06-01,48,3
2012-07-01,33,1
2012-08-01,62,2
2012-09-01,100,22
2012-10-01,90,19
2012-11-01,62,12
2012-12-01,63,17
2013-01-01,56,9
2013-02-01,51,8
2013-03-01,46,13
2013-04-01,40,8
2013-05-01,47,10
2013-06-01,48,14
2013-07-01,49,8
2013-08-01,46,11
2013-09-01,44,9
2013-10-01,43,8
2013-11-01,43,5
2013-12-01,39,12
2014-01-01,42,8
2014-02-01,29,7
2014-03-01,31,8
2014-04-01,34,7
2014-05-01,31,8
2014-06-01,38,8
2014-07-01,35,10
2014-08-01,36,5
2014-09-01,33,4
2014-10-01,36,11
2014-11-01,25,5
2014-12-01,23,7
2015-01-01,39,4
2015-02-01,33,4
2015-03-01,34,5
2015-04-01,33,6
2015-05-01,33,2
2015-06-01,27,3
2015-07-01,37,6
2015-08-01,35,3
2015-09-01,29,4
2015-10-01,25,4
2015-11-01,32,4
2015-12-01,28,4
2016-01-01,35,4
2016-02-01,30,4
2016-03-01,25,2
2016-04-01,26,2
2016-05-01,30,3
2016-06-01,31,3
2016-07-01,31,5
2016-08-01,29,5
2016-09-01,29,4
2016-10-01,31,4
2016-11-01,34,3
2016-12-01,22,3
2017-01-01,29,3
