date,Instagram setting,how to change instagram privacy settings
2011-01-01,1,0
2011-02-01,2,0
2011-03-01,1,0
2011-04-01,3,0
2011-05-01,3,1
2011-06-01,2,0
2011-07-01,3,0
2011-08-01,2,0
2011-09-01,2,0
2011-10-01,3,0
2011-11-01,2,0
2011-12-01,5,0
2012-01-01,6,1
2012-02-01,9,0
2012-03-01,9,0
2012-04-01,27,2
2012-05-01,20,2
2012-06-01,17,2
2012-07-01,21,2
2012-08-01,17,3
2012-09-01,43,17
2012-10-01,34,17
2012-11-01,27,11
2012-12-01,39,12
2013-01-01,37,11
2013-02-01,39,6
2013-03-01,39,11
2013-04-01,31,6
2013-05-01,29,7
2013-06-01,36,5
2013-07-01,35,9
2013-08-01,43,8
2013-09-01,43,8
2013-10-01,41,4
2013-11-01,45,5
2013-12-01,43,6
2014-01-01,45,6
2014-02-01,47,6
2014-03-01,47,5
2014-04-01,55,6
2014-05-01,47,6
2014-06-01,43,6
2014-07-01,54,8
2014-08-01,58,4
2014-09-01,56,4
2014-10-01,44,8
2014-11-01,59,7
2014-12-01,58,5
2015-01-01,55,6
2015-02-01,56,4
2015-03-01,61,3
2015-04-01,53,3
2015-05-01,54,2
2015-06-01,59,2
2015-07-01,61,3
2015-08-01,64,2
2015-09-01,55,2
2015-10-01,61,2
2015-11-01,55,3
2015-12-01,73,3
2016-01-01,71,3
2016-02-01,67,3
2016-03-01,71,1
2016-04-01,72,3
2016-05-01,74,2
2016-06-01,81,2
2016-07-01,79,4
2016-08-01,88,4
2016-09-01,82,3
2016-10-01,98,3
2016-11-01,98,2
2016-12-01,92,2
2017-01-01,100,3
