date,view private instagram no survey,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,5
2012-02-01,0,7
2012-03-01,0,9
2012-04-01,0,10
2012-05-01,0,11
2012-06-01,0,7
2012-07-01,0,10
2012-08-01,0,12
2012-09-01,0,73
2012-10-01,0,66
2012-11-01,0,38
2012-12-01,0,43
2013-01-01,0,54
2013-02-01,0,28
2013-03-01,0,37
2013-04-01,0,20
2013-05-01,4,32
2013-06-01,3,41
2013-07-01,3,39
2013-08-01,3,38
2013-09-01,3,30
2013-10-01,3,23
2013-11-01,3,17
2013-12-01,7,31
2014-01-01,3,32
2014-02-01,4,20
2014-03-01,8,24
2014-04-01,5,25
2014-05-01,7,20
2014-06-01,10,29
2014-07-01,14,37
2014-08-01,8,29
2014-09-01,5,22
2014-10-01,8,21
2014-11-01,6,13
2014-12-01,10,19
2015-01-01,20,22
2015-02-01,19,11
2015-03-01,22,13
2015-04-01,23,14
2015-05-01,41,9
2015-06-01,28,13
2015-07-01,40,20
2015-08-01,46,4
2015-09-01,38,11
2015-10-01,35,11
2015-11-01,39,8
2015-12-01,42,14
2016-01-01,53,9
2016-02-01,42,6
2016-03-01,43,8
2016-04-01,62,9
2016-05-01,55,8
2016-06-01,76,9
2016-07-01,79,15
2016-08-01,79,11
2016-09-01,74,11
2016-10-01,100,12
2016-11-01,88,10
2016-12-01,96,9
2017-01-01,61,10
