date,Instagram settings,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,1,0
2011-03-01,2,0
2011-04-01,2,0
2011-05-01,2,1
2011-06-01,2,0
2011-07-01,2,0
2011-08-01,1,0
2011-09-01,3,0
2011-10-01,4,0
2011-11-01,4,0
2011-12-01,6,0
2012-01-01,6,1
2012-02-01,5,0
2012-03-01,7,0
2012-04-01,26,1
2012-05-01,24,1
2012-06-01,25,1
2012-07-01,30,1
2012-08-01,30,1
2012-09-01,94,10
2012-10-01,89,10
2012-11-01,72,6
2012-12-01,100,7
2013-01-01,66,6
2013-02-01,57,3
2013-03-01,63,6
2013-04-01,57,3
2013-05-01,64,4
2013-06-01,69,3
2013-07-01,58,5
2013-08-01,61,4
2013-09-01,64,4
2013-10-01,53,2
2013-11-01,47,3
2013-12-01,58,4
2014-01-01,56,3
2014-02-01,57,3
2014-03-01,56,3
2014-04-01,51,4
2014-05-01,58,3
2014-06-01,58,3
2014-07-01,57,4
2014-08-01,61,2
2014-09-01,59,2
2014-10-01,53,5
2014-11-01,58,4
2014-12-01,66,3
2015-01-01,60,3
2015-02-01,57,2
2015-03-01,53,2
2015-04-01,57,2
2015-05-01,50,1
2015-06-01,58,1
2015-07-01,63,2
2015-08-01,58,1
2015-09-01,57,1
2015-10-01,58,1
2015-11-01,58,1
2015-12-01,63,2
2016-01-01,67,2
2016-02-01,63,2
2016-03-01,67,1
2016-04-01,79,1
2016-05-01,71,1
2016-06-01,75,1
2016-07-01,84,2
2016-08-01,84,2
2016-09-01,83,2
2016-10-01,80,2
2016-11-01,87,1
2016-12-01,95,1
2017-01-01,91,2
