date,what does hide mean on instagram,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,4
2012-02-01,0,6
2012-03-01,0,8
2012-04-01,4,9
2012-05-01,0,10
2012-06-01,0,6
2012-07-01,0,8
2012-08-01,0,10
2012-09-01,0,63
2012-10-01,4,56
2012-11-01,4,33
2012-12-01,3,36
2013-01-01,3,46
2013-02-01,4,24
2013-03-01,3,31
2013-04-01,3,17
2013-05-01,3,27
2013-06-01,3,35
2013-07-01,3,34
2013-08-01,3,32
2013-09-01,4,25
2013-10-01,6,19
2013-11-01,3,15
2013-12-01,4,27
2014-01-01,5,28
2014-02-01,3,17
2014-03-01,4,21
2014-04-01,5,21
2014-05-01,6,17
2014-06-01,3,25
2014-07-01,5,31
2014-08-01,3,24
2014-09-01,4,19
2014-10-01,5,18
2014-11-01,3,11
2014-12-01,4,16
2015-01-01,4,18
2015-02-01,4,9
2015-03-01,3,11
2015-04-01,5,12
2015-05-01,5,8
2015-06-01,4,11
2015-07-01,9,17
2015-08-01,5,3
2015-09-01,5,9
2015-10-01,5,10
2015-11-01,2,7
2015-12-01,5,12
2016-01-01,7,8
2016-02-01,7,5
2016-03-01,10,7
2016-04-01,15,8
2016-05-01,7,7
2016-06-01,4,8
2016-07-01,10,13
2016-08-01,75,10
2016-09-01,100,10
2016-10-01,78,10
2016-11-01,66,9
2016-12-01,53,8
2017-01-01,39,9
