date,how to change facebook privacy settings,how to change instagram privacy settings
2011-01-01,23,0
2011-02-01,18,0
2011-03-01,19,0
2011-04-01,12,0
2011-05-01,13,2
2011-06-01,21,0
2011-07-01,19,0
2011-08-01,26,0
2011-09-01,65,0
2011-10-01,58,0
2011-11-01,56,0
2011-12-01,50,0
2012-01-01,35,2
2012-02-01,48,0
2012-03-01,47,0
2012-04-01,41,3
2012-05-01,44,3
2012-06-01,43,3
2012-07-01,41,3
2012-08-01,58,3
2012-09-01,100,23
2012-10-01,92,23
2012-11-01,73,15
2012-12-01,65,17
2013-01-01,58,15
2013-02-01,58,8
2013-03-01,52,14
2013-04-01,42,7
2013-05-01,43,9
2013-06-01,48,6
2013-07-01,55,12
2013-08-01,52,10
2013-09-01,47,11
2013-10-01,44,6
2013-11-01,36,6
2013-12-01,38,8
2014-01-01,46,8
2014-02-01,30,8
2014-03-01,32,6
2014-04-01,41,9
2014-05-01,36,8
2014-06-01,39,8
2014-07-01,29,11
2014-08-01,47,6
2014-09-01,34,5
2014-10-01,32,11
2014-11-01,31,10
2014-12-01,29,7
2015-01-01,28,7
2015-02-01,28,5
2015-03-01,39,5
2015-04-01,27,4
2015-05-01,30,3
2015-06-01,27,2
2015-07-01,36,4
2015-08-01,33,3
2015-09-01,27,3
2015-10-01,27,3
2015-11-01,36,3
2015-12-01,30,4
2016-01-01,37,5
2016-02-01,33,4
2016-03-01,26,2
2016-04-01,22,4
2016-05-01,30,3
2016-06-01,27,3
2016-07-01,33,5
2016-08-01,27,5
2016-09-01,31,4
2016-10-01,28,4
2016-11-01,28,3
2016-12-01,27,3
2017-01-01,24,4
