date,uber settings
2011-01-01,7
2011-02-01,12
2011-03-01,6
2011-04-01,12
2011-05-01,11
2011-06-01,7
2011-07-01,11
2011-08-01,4
2011-09-01,12
2011-10-01,13
2011-11-01,8
2011-12-01,7
2012-01-01,3
2012-02-01,8
2012-03-01,7
2012-04-01,9
2012-05-01,8
2012-06-01,4
2012-07-01,5
2012-08-01,9
2012-09-01,5
2012-10-01,6
2012-11-01,7
2012-12-01,5
2013-01-01,7
2013-02-01,3
2013-03-01,5
2013-04-01,4
2013-05-01,3
2013-06-01,3
2013-07-01,7
2013-08-01,6
2013-09-01,8
2013-10-01,5
2013-11-01,6
2013-12-01,8
2014-01-01,10
2014-02-01,6
2014-03-01,10
2014-04-01,7
2014-05-01,14
2014-06-01,21
2014-07-01,17
2014-08-01,13
2014-09-01,22
2014-10-01,18
2014-11-01,18
2014-12-01,21
2015-01-01,25
2015-02-01,22
2015-03-01,27
2015-04-01,26
2015-05-01,56
2015-06-01,65
2015-07-01,55
2015-08-01,32
2015-09-01,50
2015-10-01,35
2015-11-01,42
2015-12-01,57
2016-01-01,53
2016-02-01,53
2016-03-01,43
2016-04-01,61
2016-05-01,54
2016-06-01,74
2016-07-01,74
2016-08-01,91
2016-09-01,75
2016-10-01,86
2016-11-01,94
2016-12-01,100
2017-01-01,81
