date,how to delete a twitter account,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,how to unfriend someone on facebook,private twitter account,how to delete twitter,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2015-06-01,100,1,40,22,119,26,0,12,506,0,5,1,46,76,37,2,2,34,39,495,3,1,5,4
2015-07-01,76,1,38,9,150,23,0,18,524,0,7,0,59,75,58,7,1,23,39,556,3,1,7,4
2015-08-01,62,2,39,9,164,26,0,12,524,0,7,1,57,78,55,3,2,23,39,550,5,1,8,6
2015-09-01,63,1,30,12,139,21,0,12,465,0,8,1,47,76,44,7,2,50,39,467,3,1,7,5
2015-10-01,76,2,30,11,105,19,0,12,442,0,6,1,49,69,42,3,1,39,34,439,3,2,7,2
2015-11-01,71,2,27,9,107,16,6,12,430,0,5,1,44,66,39,3,2,17,39,445,4,1,5,4
2015-12-01,67,1,36,8,121,21,6,12,495,0,4,0,48,72,42,4,2,17,39,462,4,2,4,4
2016-01-01,66,1,41,12,148,19,0,12,495,0,8,0,47,80,50,4,2,23,39,500,3,1,5,5
2016-02-01,51,2,33,14,141,19,6,12,430,0,6,0,44,75,46,4,2,45,39,434,3,1,5,4
2016-03-01,61,2,30,10,116,19,0,12,406,0,7,1,40,70,52,6,3,39,45,428,3,1,5,3
2016-04-01,65,1,32,9,121,16,0,12,412,0,6,10,42,69,46,8,3,17,39,406,4,1,4,3
2016-05-01,64,1,34,7,121,19,0,12,424,0,8,1,39,69,47,8,2,17,28,434,3,2,4,3
2016-06-01,63,1,35,10,171,19,6,12,442,6,7,2,45,72,57,10,3,34,28,489,4,1,5,3
2016-07-01,71,1,37,17,171,21,0,12,453,0,9,2,44,94,62,8,2,56,34,512,4,1,6,2
2016-08-01,70,1,36,10,135,19,0,12,453,6,8,1,42,87,55,7,3,28,34,489,4,2,5,3
2016-09-01,62,1,28,8,130,21,0,12,430,0,8,1,37,78,39,6,4,17,28,445,3,1,5,1
2016-10-01,63,1,30,9,137,21,0,12,412,0,6,1,42,81,49,7,2,23,23,417,3,1,7,2
2016-11-01,54,2,26,13,160,21,6,12,424,6,8,1,45,75,57,8,2,67,28,434,3,2,5,2
2016-12-01,61,1,34,17,141,21,0,12,465,0,6,1,43,88,60,5,3,28,28,439,4,1,7,2
2017-01-01,73,1,32,16,148,19,6,12,465,0,9,1,46,83,59,5,3,23,34,506,4,1,6,2
