date,how to change facebook privacy settings,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,23,18,2,0,0,2,69,2,430,30,0,0,75,70,0,0,2,3,0,10,0
2011-02-01,25,9,3,0,0,0,61,2,365,36,0,0,68,54,0,0,2,6,0,9,2
2011-03-01,19,9,3,0,0,0,78,2,306,24,0,0,84,68,0,0,4,4,0,8,2
2011-04-01,12,13,3,0,0,0,66,2,306,24,3,0,75,80,0,0,5,6,0,9,2
2011-05-01,17,13,3,0,0,0,75,2,336,24,3,0,61,80,0,0,2,8,0,8,2
2011-06-01,17,14,2,0,0,0,88,2,371,36,3,0,82,105,2,0,5,7,0,14,2
2011-07-01,18,13,2,0,0,2,119,2,383,24,3,0,77,135,2,0,7,5,0,16,2
2011-08-01,29,7,2,0,0,2,107,4,471,36,3,0,110,107,2,0,2,3,0,10,0
2011-09-01,71,13,2,0,0,2,116,6,442,18,3,0,77,133,2,0,2,2,2,16,0
2011-10-01,63,11,2,0,0,2,92,4,477,36,3,0,77,121,2,0,4,5,2,10,0
2011-11-01,51,13,6,0,0,2,114,2,589,36,3,0,82,119,5,0,5,5,2,6,0
2011-12-01,47,11,2,0,0,2,123,4,501,24,3,0,96,135,4,0,2,3,2,10,0
2012-01-01,38,14,3,0,0,2,119,4,548,30,3,0,87,128,4,0,4,7,2,13,0
2012-02-01,49,15,5,0,0,4,104,4,559,24,3,0,73,87,10,0,4,4,2,16,0
2012-03-01,47,18,2,0,0,4,97,2,542,30,5,0,84,94,7,0,4,5,2,18,0
2012-04-01,45,15,2,0,0,2,123,4,383,30,5,0,80,105,17,0,7,2,3,18,0
2012-05-01,45,15,2,2,0,2,113,2,365,24,7,0,87,103,22,0,5,4,2,14,0
2012-06-01,49,15,3,2,0,2,142,6,377,36,7,3,89,121,22,0,4,7,2,18,2
2012-07-01,45,18,2,2,0,2,156,4,536,36,7,3,98,124,28,0,4,4,1,17,0
2012-08-01,76,11,2,5,0,2,166,4,506,36,12,3,98,147,34,2,4,7,1,10,0
2012-09-01,100,17,2,6,0,2,121,6,412,36,7,3,110,124,34,2,5,3,1,14,0
2012-10-01,94,21,3,9,0,2,95,4,371,36,10,3,91,100,34,2,4,8,2,19,0
2012-11-01,67,15,2,33,0,2,123,4,436,30,10,3,100,110,27,4,4,7,2,12,0
2012-12-01,61,17,3,36,0,2,132,4,459,42,10,3,103,133,47,4,4,4,3,14,1
2013-01-01,56,17,3,33,0,2,145,16,412,42,7,3,91,145,57,4,4,7,4,17,1
2013-02-01,54,19,2,21,0,2,150,13,389,30,12,3,100,145,70,4,2,6,1,12,1
2013-03-01,50,18,3,28,0,2,138,23,400,36,7,3,98,138,50,4,4,7,2,14,3
2013-04-01,43,19,2,34,0,2,137,40,395,30,10,3,96,135,50,2,4,7,1,19,1
2013-05-01,45,15,2,37,0,6,128,21,324,42,7,3,91,154,54,4,4,8,1,14,5
2013-06-01,52,23,5,45,0,4,142,13,348,42,17,3,105,166,73,4,8,8,1,14,8
2013-07-01,52,19,3,63,0,4,161,19,400,48,14,3,110,177,64,5,8,6,2,14,9
2013-08-01,50,23,2,53,0,4,173,37,389,48,14,3,119,180,76,5,7,10,1,16,10
2013-09-01,46,25,2,45,0,2,132,32,289,48,12,3,119,170,51,4,5,8,1,15,10
2013-10-01,47,17,3,45,6,2,111,14,300,42,14,0,114,166,53,7,5,8,2,12,9
2013-11-01,36,21,5,48,9,4,111,18,336,48,12,0,119,168,47,7,7,8,2,11,11
2013-12-01,40,19,2,68,11,6,128,30,406,48,21,0,128,191,71,4,5,9,1,14,11
2014-01-01,45,21,2,103,10,4,128,50,348,59,14,0,140,210,65,7,5,11,1,18,10
