date,most private browser,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,21,35,0,105,0
2011-02-01,55,59,0,98,22
2011-03-01,40,47,0,88,20
2011-04-01,40,64,0,93,20
2011-05-01,40,81,0,81,20
2011-06-01,21,71,0,152,20
2011-07-01,27,54,0,171,20
2011-08-01,38,32,0,110,0
2011-09-01,37,25,20,169,0
2011-10-01,71,54,18,100,0
2011-11-01,18,54,18,59,0
2011-12-01,70,35,18,108,0
2012-01-01,59,71,18,142,0
2012-02-01,61,40,18,169,0
2012-03-01,58,54,18,191,0
2012-04-01,49,22,35,188,0
2012-05-01,31,47,18,149,0
2012-06-01,21,71,18,193,18
2012-07-01,42,42,15,181,0
2012-08-01,46,74,15,110,0
2012-09-01,23,32,15,144,0
2012-10-01,47,86,25,203,0
2012-11-01,14,76,20,122,0
2012-12-01,66,40,30,142,15
2013-01-01,43,74,40,179,13
2013-02-01,47,61,15,130,15
2013-03-01,42,71,22,144,32
2013-04-01,47,79,13,203,13
2013-05-01,41,81,13,147,54
2013-06-01,51,83,13,147,86
2013-07-01,80,59,25,149,98
2013-08-01,67,105,13,169,100
2013-09-01,29,88,13,152,103
2013-10-01,50,86,25,130,93
2013-11-01,55,81,25,120,113
2013-12-01,92,96,13,144,120
2014-01-01,55,113,13,186,100
2014-02-01,56,74,13,135,118
2014-03-01,51,81,22,198,132
2014-04-01,41,49,22,159,103
2014-05-01,80,81,13,108,130
2014-06-01,59,69,32,196,98
2014-07-01,66,61,25,244,125
2014-08-01,74,88,30,166,125
2014-09-01,94,91,40,159,154
2014-10-01,63,79,35,166,147
2014-11-01,61,86,32,154,164
2014-12-01,86,98,30,166,91
2015-01-01,70,88,18,164,103
2015-02-01,49,61,47,147,115
2015-03-01,42,91,22,152,120
2015-04-01,82,79,15,198,164
2015-05-01,66,59,25,105,144
2015-06-01,64,76,22,157,125
2015-07-01,77,103,32,186,118
2015-08-01,100,149,42,205,142
2015-09-01,81,96,10,218,132
2015-10-01,68,105,40,188,61
2015-11-01,82,108,25,140,83
2015-12-01,93,74,37,142,115
2016-01-01,60,103,30,142,103
2016-02-01,66,76,25,161,69
2016-03-01,64,83,32,164,71
2016-04-01,67,103,18,93,96
2016-05-01,94,57,49,83,57
2016-06-01,85,98,15,130,49
2016-07-01,83,88,20,137,54
2016-08-01,63,86,52,125,66
2016-09-01,77,69,42,140,52
2016-10-01,79,66,49,137,49
2016-11-01,65,76,49,142,52
2016-12-01,85,66,32,159,57
2017-01-01,97,98,49,161,54
