date,delete account instagram,search without history,how to delete a snapchat account,who can see my snapchat story,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,how to change instagram privacy settings,how to delete facebook,how to unfollow someone on instagram,how to delete gmail,how to change facebook privacy settings,how to delete youtube,how to delete a twitter account,how to delete snapchat,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,how to unfriend someone on facebook,private twitter account,how to delete twitter,how to browse anonymously,delete hangout history
2011-01-01,0,0,0,0,2,0,15,1,1,0,204,0,28,1,22,1,0,0,0,3,2,0,0,1,1,8,0,0
2011-02-01,0,0,0,0,2,0,12,1,1,0,190,0,28,1,21,1,0,0,0,2,2,0,0,1,0,9,0,0
2011-03-01,0,0,0,0,2,0,11,1,1,0,180,0,28,1,24,1,0,0,0,3,3,0,0,2,1,10,0,0
2011-04-01,0,0,0,0,2,0,10,1,1,0,194,0,31,0,24,1,0,0,0,2,2,0,0,2,1,12,0,0
2011-05-01,0,0,0,0,2,0,11,1,1,0,200,0,29,0,24,1,0,0,0,2,3,0,0,1,1,13,0,0
2011-06-01,0,0,0,0,3,0,12,1,1,0,220,0,34,1,32,2,0,0,0,2,4,0,0,2,2,15,0,0
2011-07-01,1,0,0,0,4,0,13,1,1,0,237,0,40,1,36,3,0,0,0,3,5,0,0,2,1,18,1,0
2011-08-01,1,0,0,0,4,0,16,1,1,0,287,0,39,1,37,2,0,0,0,3,4,0,0,2,1,18,0,0
2011-09-01,1,0,0,0,4,0,15,1,1,0,280,0,38,2,34,2,0,0,0,3,4,0,0,3,2,15,0,0
2011-10-01,1,0,0,0,3,0,16,1,1,0,287,0,36,2,34,2,0,0,0,3,4,0,0,2,2,18,0,0
2011-11-01,1,1,0,0,4,0,19,1,1,0,300,0,38,2,35,3,0,0,0,3,4,0,0,1,3,21,0,0
2011-12-01,2,0,0,0,4,0,17,1,3,0,334,0,40,2,47,3,0,0,0,3,4,0,0,2,2,23,0,0
2012-01-01,3,0,0,0,4,0,18,1,2,0,327,0,40,1,42,4,0,0,0,3,4,0,0,3,2,26,0,0
2012-02-01,3,1,0,0,3,0,19,1,2,0,324,0,35,2,38,3,0,0,0,2,3,0,0,2,2,24,1,0
2012-03-01,5,0,0,0,3,0,18,1,2,0,330,0,34,1,38,3,0,0,0,3,3,0,0,3,1,24,1,0
2012-04-01,14,1,0,0,5,0,13,1,2,0,304,0,35,1,39,3,0,0,0,3,4,1,0,3,2,28,1,0
2012-05-01,11,0,0,0,4,0,13,1,2,0,287,0,35,1,36,4,0,0,0,3,3,1,0,3,2,28,1,0
2012-06-01,14,1,0,0,5,0,13,1,2,0,284,0,37,2,39,4,0,0,0,3,4,1,0,4,2,31,1,0
2012-07-01,15,1,0,0,5,0,18,1,2,0,277,0,42,1,42,5,0,0,0,4,4,1,0,3,3,40,1,0
2012-08-01,14,0,0,0,6,0,18,1,2,0,297,0,44,2,43,6,0,0,0,3,5,1,0,2,2,38,0,0
2012-09-01,15,1,0,0,4,0,14,1,2,1,297,0,41,3,39,5,1,0,0,4,4,1,0,2,2,33,1,0
2012-10-01,15,1,0,0,3,0,12,1,2,1,260,0,38,3,39,4,1,0,0,3,3,1,0,3,3,32,0,0
2012-11-01,15,1,1,0,4,0,15,1,2,1,240,0,39,2,41,4,4,0,0,3,4,1,0,4,3,34,0,0
2012-12-01,31,1,1,0,4,0,16,1,2,1,270,0,46,2,48,5,7,0,0,4,5,2,0,2,3,39,1,0
2013-01-01,34,1,1,0,5,1,13,1,2,0,260,0,45,2,45,5,5,0,0,3,4,2,0,2,4,41,0,0
2013-02-01,36,1,0,0,5,1,12,1,2,0,237,0,45,2,44,6,5,0,0,3,4,2,0,1,4,39,0,0
2013-03-01,23,1,1,0,5,1,13,1,2,0,224,0,47,2,43,5,7,0,0,3,4,1,0,5,4,38,0,0
2013-04-01,21,1,1,0,4,1,14,1,2,0,214,0,46,2,44,4,10,0,0,3,4,2,0,2,3,35,1,0
