date,how to encrypt emails
2011-01-01,20
2011-02-01,71
2011-03-01,38
2011-04-01,41
2011-05-01,64
2011-06-01,20
2011-07-01,39
2011-08-01,43
2011-09-01,24
2011-10-01,40
2011-11-01,40
2011-12-01,56
2012-01-01,36
2012-02-01,32
2012-03-01,65
2012-04-01,100
2012-05-01,49
2012-06-01,26
2012-07-01,75
2012-08-01,30
2012-09-01,81
2012-10-01,36
2012-11-01,63
2012-12-01,32
2013-01-01,62
2013-02-01,50
2013-03-01,57
2013-04-01,70
2013-05-01,48
2013-06-01,62
2013-07-01,65
2013-08-01,84
2013-09-01,63
2013-10-01,48
2013-11-01,42
2013-12-01,30
2014-01-01,39
2014-02-01,54
2014-03-01,49
2014-04-01,54
2014-05-01,66
2014-06-01,65
2014-07-01,63
2014-08-01,16
2014-09-01,53
2014-10-01,39
2014-11-01,95
2014-12-01,43
2015-01-01,37
2015-02-01,55
2015-03-01,44
2015-04-01,48
2015-05-01,40
2015-06-01,41
2015-07-01,70
2015-08-01,63
2015-09-01,55
2015-10-01,67
2015-11-01,60
2015-12-01,45
2016-01-01,67
2016-02-01,78
2016-03-01,59
2016-04-01,67
2016-05-01,65
2016-06-01,61
2016-07-01,70
2016-08-01,55
2016-09-01,63
2016-10-01,62
2016-11-01,99
2016-12-01,71
2017-01-01,77
