date,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,how to uninstall gmail,google hangouts privacy,youtube private channel,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,58,5,0,0,106,6,117,0,0,247,231,0,0,5,11,0,33,0
2011-02-01,28,10,0,0,112,0,98,0,0,224,177,0,0,5,19,0,30,7
2011-03-01,25,10,0,0,84,0,75,0,0,277,224,0,0,10,15,0,27,6
2011-04-01,38,10,0,0,81,0,114,8,0,247,262,0,0,15,20,0,29,6
2011-05-01,38,10,0,0,75,0,89,8,0,200,262,0,0,5,25,0,25,6
2011-06-01,45,5,0,0,114,0,120,8,0,270,347,5,0,15,23,0,48,6
2011-07-01,41,5,0,0,84,6,117,8,0,254,447,5,0,20,17,0,54,6
2011-08-01,22,5,0,0,109,6,139,8,0,362,354,5,0,5,10,0,34,0
2011-09-01,39,5,0,0,64,6,162,8,0,254,439,5,0,5,8,6,53,0
2011-10-01,35,5,0,0,117,6,139,8,0,254,400,5,0,10,17,6,32,0
2011-11-01,39,19,0,0,128,6,150,8,0,270,393,15,0,15,17,6,19,0
2011-12-01,35,5,0,0,87,6,209,8,0,316,447,10,0,5,11,5,33,0
2012-01-01,44,10,0,0,103,9,187,8,0,285,424,10,0,10,22,5,44,0
2012-02-01,50,14,0,0,87,9,175,8,0,239,285,30,0,10,12,5,53,0
2012-03-01,60,5,0,0,95,12,203,16,0,277,308,20,0,10,17,5,60,0
2012-04-01,47,5,0,0,98,6,167,16,0,262,347,55,0,20,7,10,59,0
2012-05-01,49,5,5,0,73,6,178,24,0,285,339,70,0,15,15,5,47,0
2012-06-01,47,10,5,0,114,6,173,24,8,293,400,70,0,10,22,5,60,5
2012-07-01,56,5,5,0,112,6,170,24,8,324,408,90,0,10,13,5,56,0
2012-08-01,34,5,14,0,114,6,198,39,8,324,485,110,5,10,23,5,34,0
2012-09-01,52,5,19,0,117,6,203,24,8,362,408,110,5,15,10,5,46,0
2012-10-01,65,10,28,0,117,6,170,31,8,300,331,110,5,10,27,7,64,0
2012-11-01,49,5,110,0,98,6,175,31,8,331,362,85,10,10,24,6,39,0
2012-12-01,55,10,119,0,131,6,189,31,8,339,439,150,10,10,12,9,45,5
2013-01-01,54,10,110,0,137,3,228,24,8,300,477,185,10,10,23,12,56,4
2013-02-01,61,5,69,0,92,6,214,39,8,331,477,225,10,5,19,4,40,4
2013-03-01,60,10,91,0,123,3,220,24,8,324,454,160,10,10,23,7,45,10
2013-04-01,64,5,114,0,106,9,212,31,8,316,447,160,5,10,24,4,64,4
2013-05-01,47,5,123,0,142,17,178,24,8,300,508,175,10,10,25,4,46,17
2013-06-01,74,14,150,0,139,12,187,54,8,347,547,235,10,25,26,4,46,27
2013-07-01,61,10,210,0,153,9,225,47,8,362,585,205,15,25,19,8,47,31
2013-08-01,74,5,178,0,167,14,278,47,8,393,593,245,15,20,33,4,53,32
2013-09-01,79,5,150,0,156,3,228,39,8,393,562,165,10,15,27,4,48,32
2013-10-01,52,10,150,19,134,6,200,47,0,377,547,170,20,15,27,7,41,30
2013-11-01,66,14,160,28,164,12,181,39,0,393,554,150,20,20,25,7,37,35
2013-12-01,61,5,228,37,164,17,237,70,0,424,631,230,10,15,30,4,45,38
